attribute_name,delete,merged,dataset_source,attribute_source,created_by_script,data_type,description
findspot_ancient_clean,,,EDH,EDH_merged_[timestamp].json,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd,character,"Cleaned ancient findspot, without additional symbols, such as ?"
findspot_ancient_certainty,,,EDH,EDH_merged_[timestamp].json,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd,bool,"Certainty measure for ancient findspot, extracted from ? present in the original attribute"
modern_region_clean,,,EDH,EDH_merged_[timestamp].json,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd,character,"Cleaned modern region, without additional symbols, such as ?"
modern_region_certainty,,,EDH,EDH_merged_[timestamp].json,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd,bool,"Certainty measure for modern region, extracted from ? present in the original attribute"
findspot_modern_clean,,,EDH,EDH_merged_[timestamp].json,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd,character,"Cleaned modern findspot, without additional symbols, such as ?"
findspot_modern_certainty,,,EDH,EDH_merged_[timestamp].json,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd,bool,"Certainty measure for modern findspot, extracted from ? present in the original attribute"
findspot_clean,,,EDH,EDH_merged_[timestamp].json,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd,character,"Cleaned findspot, without additional symbols, such as ?"
findspot_certainty,,,EDH,EDH_merged_[timestamp].json,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd,bool,"Certainty measure for findspot, extracted from ? present in the original attribute"
clean_text_conservative,,,EDH,EDH_attrs_cleaned_[timestamp].json,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_5_r_TEXT_INSCRIPTION_CLEANING.Rmd,character,"Result of cleaning function, producing a conservative version of the text of an inscription. The text is as close to the preserved state of the text, without restorations and expansions."
clean_text_interpretive_word,,,EDH,EDH_attrs_cleaned_[timestamp].json,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_5_r_TEXT_INSCRIPTION_CLEANING.Rmd,character,"Result of cleaning function, producing an interpretative version of the text of an inscription. The text contains all restorations and expansions in order to otain as rich version of the text as possible. Interpunction between sentences is not reserved."
clean_text_interpretive_sentence,,,EDH,EDH_attrs_cleaned_[timestamp].json,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_5_r_TEXT_INSCRIPTION_CLEANING.Rmd,character,"Result of cleaning function, producing an interpretative version of the text of an inscription. The text contains all restorations and expansions in order to otain as rich version of the text as possible. Interpunction between sentences is reserved."
year_of_find,,,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb,character,"Year of the find, YYYY format."
present_location,,,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb,character,Present location of the monument
pleaides_id,,,EDH,https://edh-www.adw.uni-heidelberg.de/data/api,https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_3_py_MERGING_API_GEO_and_XML.ipynb,numeric,"ID for the geographic location in Pleiades (https://pleiades.stoa.org/), as provided by EDH."
withinRE?,,,SDAM,,,bool,Whether the geocoordinates locate the inscription within the borders of the Roman Empire in its highest extent.
urban_context,,,,,,character,"Whether within a 5K buffer of a large city (population estimate higher than 30,000), medium city (population est. between 29,999 and 5000), or small city (pop. est. smaller than 5,000), or out of reach of any of them. If more cities are nearby, the bigger has preference. Cities from Hanson 2016."
urban_context_city,,,SDAM,,,character,Name (ancient toponym) of the city determining the urban context.
urban_context_pop,,,SDAM,,,numeric,Population estimate of the determining the urban context.
