Term,gen_sg,Vocab_nom_sg,Source,Category,Subcategory,Translation_eng
exactor auri argenti et aeris,oris,exactor,Petrikovits 1981a,Finance,,"overseer of gold and silver money production,a collector of taxes, a tax gatherer"
exceptor,oris,exceptor,Waltzing - Rome,Education,,"an amanuensis, short-hand writer, scribe"
exclussor,oris,,Petrikovits 1981a,Metal-Working,,blacksmith
excusor,oris,,Petrikovits 1981a,Metal-Working,,blacksmith
exemptor,oris,,Petrikovits 1981a,Building,Stone worker,"who pulls out stones, stone breaker"
exonerator,oris,exonerator,Waltzing - Rome,Transport,Land transport,an unloader of calc (calcarii)
extructor,oris,,Petrikovits 1981a,Building,,builder
faber,ri,faber,Waltzing - Rome,Metal-Working,,"a worker in wood, stone, metal, etc., a forger, smith, artificer, carpenter, joiner"
faber aerarii,ri,faber,Waltzing - Rome,Metal-Working,,bronze worker
faber ferrarii,ri,faber,Waltzing - Rome,Metal-Working,,blacksmith
faber navales,ri,faber,Waltzing - Rome,Transport,Maritime/water transport,boat constructors
faber soliarii,ri,faber,Waltzing - Rome,Clothing,Shoe maker,shoe maker
faber tignarii,ri,faber,Waltzing - Rome,Building,,builder
faber tignuarii,ri,faber,Waltzing - Rome,Building,,builder
fabricator,oris,,Petrikovits 1981a,Miscellaneous Services,,"manufacturer, an artificer, framer, forger, contriver, fabricator"
fabricensis,ensis,fabricensis,Waltzing - provinces,Metal-Working,,an armorer
fabriciensis,ensis,,Petrikovits 1981a,Metal-Working,,an armorer
fabriciesis,esis,,Petrikovits 1981a,Metal-Working,,an armorer
factor,oris,,Petrikovits 1981a,Food-Production,,an oil-presser
faenarius,i,faenarius,Waltzing - Rome,Finance,,one who lends money on interest
falancarius,i,falancarius,Waltzing - Rome,Transport,Land transport,one who carries burdens with the aid of a long pole
falcarius,i,,Petrikovits 1981a,Metal-Working,,a sickle- or scythe-maker
farmacopola,ae,farmacopola,Waltzing - provinces,Miscellaneous Services,,druggist
ferramentarius,i,,Petrikovits 1981a,Metal-Working,,"a maker of iron implements, tools"
ferrariarius,i,,Petrikovits 1981a,Metal-Working,,one who works in iron-mines
ferrarius,i,,Petrikovits 1981a,Metal-Working,,iron smith
ferrius,i,,Petrikovits 1981a,Metal-Working,,worker with iron
fictiliarius,i,,Petrikovits 1981a,Household Goods,,potter
fictor,oris,,Petrikovits 1981a,Plastic Arts,,"a moulder, sculptor, image-maker, statuary"
fidicinus,i,fidicinus,Waltzing - Rome,Performing Arts,,lute player
figelus,i,,Petrikovits 1981a,Household Goods,,a potter
figlinator,oris,,Petrikovits 1981a,Household Goods,,a potter
figlus,i,,Petrikovits 1981a,Household Goods,,a potter
figularius,i,,Petrikovits 1981a,Household Goods,,a potter
figulator,oris,,Petrikovits 1981a,Household Goods,,a potter
figulus,i,figulus,Waltzing - Rome,Household Goods,,a potter
figurator,oris,,Petrikovits 1981a,Plastic Arts,,"one who forms or fashions, sculptor"
finctor,oris,,Petrikovits 1981a,Plastic Arts,,"a moulder, sculptor, image-maker, statuary"
flammarius,i,,Petrikovits 1981a,Clothing,Colour production,"read colour dyer, producer"
flammearius,i,,Petrikovits 1981a,Clothing,Colour production,"read colour dyer, producer"
flator,oris,,Petrikovits 1981a,Metal-Working,,"a blower of a windinstrument, caster"
flaturarius,i,,Petrikovits 1981a,Metal-Working,,a caster
florentinarius,i,,Petrikovits 1981a,Unclear meaning,,uncertain
focarius,i,focarius,Waltzing - provinces,Food-Production,,"a kitchen-boy; a kitchen-maid, cook"
fontanus,i,fontanus,Waltzing - provinces,Water-Management,,"of a spring, from a fountain, spring, worker?"
forensis,is,forensis,Waltzing - provinces,Managerial,,"of or belonging to the market or forum, public, trader, a public pleader, advocate"
fornacator,oris,,Petrikovits 1981a,Water-Management,,"the heater of a bath-furnace, a bath-heater"
fosor,oris,,Petrikovits 1981a,Building,,"a digger, delver, ditcher"
fossor,oris,,Petrikovits 1981a,Building,,"a digger, delver, ditcher"
fabriciensius,i,,Petrikovits 1981b,Metal-Working,,an armorer
frenarius,i,,Petrikovits 1981a,Miscellaneous Services,,"bridle maker, handler"
frixor,oris,,Petrikovits 1981a,Food-Production,,"roaster, fryer, freezer, uncertain"
fructuarius,i,fructuarius,Waltzing - Rome,Food-Production,,that serves for laying up the fruits in
frygio,onis,,Petrikovits 1981a,Metal-Working,,goldsticker
fullo,onis,fullo,Waltzing - Rome,Clothing,,a cloth-fuller
funerarius,i,,Petrikovits 1981a,Death-care sector,,mortician
funerator,oris,,Petrikovits 1981a,Death-care sector,,mortician
furnarius,i,,Petrikovits 1981a,Food-Production,,"baker, stove builder"
furnaria,ae,,Petrikovits 1981a,Food-Production,,"female baker, stove builder"
fusor,oris,,Petrikovits 1981a,Metal-Working,,"metal moulder, pourer"
gallicarius,i,,Petrikovits 1981a,Clothing,Shoe maker,special shoe type maker and seller
gallinarius,i,gallinarius,Waltzing - provinces,Food-Production,,a keeper of poultry
gaunacarius,i,,Petrikovits 1981a,Clothing,,furrier
gelator,oris,,Petrikovits 1981a,Plastic Arts,,"relief maker, carver"
gemmarius,i,,Petrikovits 1981a,Plastic Arts,,"gem maker, carver"
gerdius,i,,Petrikovits 1981a,Clothing,,weaver
gerulus,i,gerulus,Waltzing - Rome,Transport,Land transport,"a carrier, porter"
gisiarius,i,gisiarius,Waltzing - provinces,Transport,Land transport,The maker / driver of a cabriolet
gladiarius,i,,Petrikovits 1981a,Metal-Working,,a sword-cutler
gladiator,oris,gladiator,Waltzing - Rome,Performing Arts,,gladiator
glutinarius,i,,Petrikovits 1981a,Miscellaneous Services,,"glue boiler, glue maker"
glutinator,oris,,Petrikovits 1981a,Miscellaneous Services,,"a gluer together of books, a bookbinder, papyrusbinder"
grabatarius,i,,Petrikovits 1981a,Household Goods,,bed maker
gupsarius,i,,Petrikovits 1981a,Building,,plaster worker
gynaeciarius,i,gynaeciarius,Waltzing - provinces,Managerial,,the overseer of a seraglio
gypsarius,i,,Petrikovits 1981a,Building,,plaster worker
gypsoplastes,ae,,Petrikovits 1981a,Building,,a worker in gypsum or stucco
harenarius,i,harenarius,Waltzing - provinces,Performing Arts,,"A combatant in the amphitheatre, a gladiator or A teacher of the elements of arithmetic"
harundinarius,i,,Petrikovits 1981a,Retail,,a dealer in limed twigs
hastifer,eris,hastifer,Waltzing - provinces,Miscellaneous Services,,city militia
hilitor,oris,,Petrikovits 1981a,Food-Production,,"gardener, vegetable gardener"
holitor,oris,,Petrikovits 1981a,Food-Production,,"gardener, vegetable gardener"
horologarius,i,,Petrikovits 1981a,Miscellaneous Services,,clockmaker
horrearius,i,horrearius,Waltzing - Rome,Managerial,,the superintendent of a storehouse
hortolanus,i,,Petrikovits 1981a,Miscellaneous Services,,gardener
hortulanus,i,,Petrikovits 1981b,Miscellaneous Services,,gardener
imaginarius,i,,Petrikovits 1981a,Plastic Arts,,painter
impiliarius,i,,Petrikovits 1981a,Clothing,Shoe maker,"slipper maker, shoe maker"
inaurator,oris,inaurator,Waltzing - Rome,Metal-Working,,a gilder
inclusor auri et gemmarum,oris,inclusor,Petrikovits 1981a,Metal-Working,,"jewell maker, goldsmith"
indusiarius,i,,Petrikovits 1981a,Clothing,,a maker of women's under-garments
infector,oris,,Petrikovits 1981a,Clothing,Colour production,a dyer
inpaestator,oris,,Petrikovits 1981a,Plastic Arts,,metal figure maker
inpiliarius,i,,Petrikovits 1981a,Clothing,Shoe maker,"slipper maker, felt shoe maker"
inscriptor,oris,,Petrikovits 1981a,Miscellaneous Services,,"letter cutter, one who writes down"
insignarius,i,,Petrikovits 1981a,Plastic Arts,,an engraver ?
insignitor,oris,,Petrikovits 1981a,Plastic Arts,,an engraver
institor,oris,,Petrikovits 1981a,Retail,,"a factor, broker, huckster, hawker, peddler"
instructor,oris,,Petrikovits 1981b,Miscellaneous Services,,a preparer
instructor parietum,oris,instructor,Petrikovits 1981a,Building,,a wall preparer
interrasor,oris,,Petrikovits 1981a,Plastic Arts,,a filigreeworker
intestinarius,i,,Petrikovits 1981a,Building,Wood worker,woodworker
intestinus,i,,Petrikovits 1981a,Building,Wood worker,woodworker
inundatoris,is,inundatoris,Waltzing - Rome,Unclear meaning,,unclear
isicarius,i,,Petrikovits 1981a,Food-Production,,"sausage maker, butcher"
ispeclararia,ae,,Petrikovits 1981b,Glass-Working,,window glass maker
iumentarius,i,iumentarius,Waltzing - Rome,Transport,Land transport,of or belonging to draught-cattle
jumentarius,i,jumentarius,Waltzing - Rome,Transport,Land transport,of or belonging to draught-cattle
lactarius,i,,Petrikovits 1981a,Food-Production,,food prepared with milk
lactearius,i,,Petrikovits 1981a,Food-Production,,food prepared with milk
lacunarius,i,,Petrikovits 1981a,Death-care sector,,a gravedigger
lagoenaria,ae,,Petrikovits 1981a,Household Goods,,female potter
lagunaria,ae,,Petrikovits 1981a,Household Goods,,female potter
lanarius,i,lanarius,Waltzing - provinces,Clothing,,a worker in wool
laniarius,i,,Petrikovits 1981a,Food-Production,,a butcher
lanifex,icis,,Petrikovits 1981a,Clothing,,wool worker
lanifica,ae,,Petrikovits 1981b,Clothing,,female wool-spinner
lanificus,i,,Petrikovits 1981a,Clothing,,a wool-spinner
lanifricarius,i,,Petrikovits 1981a,Household Goods,,towel maker ?
lanilotor,oris,,Petrikovits 1981a,Clothing,,wool washer
lanio,onis,,Petrikovits 1981a,Food-Production,,a butcher
lanionus,i,lanionus,Waltzing - provinces,Food-Production,,of or belonging to a butcher
lanipendia,ae,,Petrikovits 1981b,Clothing,,one who weighs out wool
lanipendius,i,,Petrikovits 1981a,Clothing,,one who weighs out wool
lanius,i,lanius,Waltzing - Rome,Food-Production,,a butcher
lanternarius,i,,Petrikovits 1981a,Household Goods,,lamp maker
lapedarius,i,,Petrikovits 1981a,Building,Stone worker,stone-cutter
lapicida,ae,,Petrikovits 1981a,Building,Stone worker,"a quarryman, stone-cutter"
lapicidinarius,i,,Petrikovits 1981a,Building,Stone worker,"a quarryman, stone-cutter"
lapidarius,i,lapidarius,Waltzing - provinces,Building,Stone worker,stone-cutter
lapidecesor,oris,,Petrikovits 1981a,Building,Stone worker,"a quarryman, stone-cutter"
lapidicaesor,oris,,Petrikovits 1981a,Building,Stone worker,"a quarryman, stone-cutter"
lapidicida,ae,,Petrikovits 1981a,Building,Stone worker,"a quarryman, stone-cutter"
laquearius,i,,Petrikovits 1981a,Building,,"one that makes panelled ceilings, a ceiling-maker"
laterarius,i,,Petrikovits 1981a,Building,,a brickmaker
latomus,i,latomus,Waltzing - provinces,Building,Stone worker,stone-cutter
lavator,oris,,Petrikovits 1981a,Clothing,,a clothes-washer
lectarius,i,,Petrikovits 1981a,Household Goods,,a couch-maker
lecticarius,i,lecticarius,Waltzing - Rome,Food-Production,,a cook
lectuarius,i,,Petrikovits 1981a,Household Goods,,a couch-maker
legulus,i,,Petrikovits 1981a,Food-Production,,"a gatherer, collector; esp. one who picked up the fallen olives"
lenuncularius,i,lenuncularius,Waltzing - Rome,Transport,Maritime/water transport,one who sails in a small vessel
levamentarius,i,levamentarius,Waltzing - Rome,Transport,Land transport,"unloader, transport worker"
libarius,i,,Petrikovits 1981a,Food-Production,,"a pastry-cook, confectioner"
libitinarius,i,,Petrikovits 1981a,Death-care sector,,"an undertaker, mortician"
librator,oris,,Petrikovits 1981a,Miscellaneous Services,,"a leveller, esp. by means of a water-level, a surveyor"
lignarius,i,lignarius,Waltzing - provinces,Building,Wood worker,"A worker in wood, a carpenter, joiner"
limarius,i,,Petrikovits 1981a,Metal-Working,,"file cutter, maker"
limbularius,i,,Petrikovits 1981a,Clothing,,"trims, ribbons, belts maker"
linarius,i,linarius,Waltzing - provinces,Clothing,,"a linen-weaver, dealer in linen"
lintarius,i,lintarius,Waltzing - provinces,Clothing,,"a linen-weaver, dealer in linen"
lintearius,i,lintearius,Waltzing - Rome,Transport,Maritime/water transport,"a boatman, waterman"
linteator,oris,,Petrikovits 1981a,Clothing,,"a linen-weaver, dealer in linen"
linteo,onis,,Petrikovits 1981a,Clothing,,"a linen-weaver, dealer in linen"
lintiarius,i,lintiarius,Waltzing - provinces,Clothing,,"a linen-weaver, dealer in linen"
lintio,onis,,Petrikovits 1981a,Clothing,,"a linen-weaver, dealer in linen"
lintrarius,i,lintrarius,Waltzing - Rome,Transport,Maritime/water transport,"a boatman, waterman"
linyfarius,i,,Petrikovits 1981a,Clothing,,linen weaver
linyfio,onis,,Petrikovits 1981a,Clothing,,linen weaver
linyfus,i,,Petrikovits 1981a,Clothing,,linen weaver
linypharius,i,,Petrikovits 1981b,Clothing,,linen weaver
linyphus,i,,Petrikovits 1981b,Clothing,,linen weaver
lithotomos,i,,Petrikovits 1981a,Building,,"stone cutter, Greek"
liticinus,i,liticinus,Waltzing - Rome,Performing Arts,,a player on the clarion
locularius,i,,Petrikovits 1981a,Death-care sector,,"casket maker, coffin maker"
loclarius,i,,Petrikovits 1981a,Death-care sector,,"casket maker, coffin maker"
lorarius,i,,Petrikovits 1981a,Miscellaneous Services,Military,a harness-maker
loricarius,i,,Petrikovits 1981a,Miscellaneous Services,Military,"maker of lorica, cuirass"
lotor,oris,,Petrikovits 1981a,Clothing,,a clothes-washer
lotorus,i,lotorus,Waltzing - provinces,Clothing,,fuller
lucernarius,i,,Petrikovits 1981a,Household Goods,,lamp maker
lupinarius,i,lupinarius,Waltzing - Rome,Food-Retail,,dealers in lupines
lusorius,i,,Petrikovits 1981a,Plastic Arts,,"mosaicer, maker of mosaic"
lyntrarius,i,lyntrarius,Waltzing - provinces,Transport,Maritime/water transport,raft-maker
macellarius,i,macellarius,Waltzing - provinces,Food-Production,,butcher
machinarius,i,,Petrikovits 1981a,Building,,"a machinist, machine-builder,"
machinator,oris,,Petrikovits 1981a,Miscellaneous Services,,"a maker of machines, a machinist, an engineer, architect"
machio,onis,,Petrikovits 1981a,Building,Stone worker,mason
magira,ae,,Petrikovits 1981a,Food-Production,,cook
magnarius,i,magnarius,Waltzing - Rome,Retail,,"a dealer in gross, wholesale dealer"
malleator,oris,,Petrikovits 1981a,Miscellaneous Services,,"worker with hammer, coinstrucker"
malliator,oris,,Petrikovits 1981a,Miscellaneous Services,,"worker with hammer, coinstrucker"
manciparius,i,manciparius,Waltzing - Rome,Retail,,salesman
manceps salinarum,ipis,manceps,Waltzing - Rome,Managerial,,"salt shops managers,  purchaser of any thing at a public auction, a renter, farmer, contractor, etc. "
manceps thermarum,ipis,manceps,Waltzing - Rome,Managerial,,"bath managers,  purchaser of any thing at a public auction, a renter, farmer, contractor, etc. "
manicarius,i,,Petrikovits 1981a,Miscellaneous Services,,"manufacturers of manicae, bangages for gladiator sword"
manticularius,i,manticularius,Waltzing - provinces,Clothing,,"manufacturer of a small wallet, purse, pouch"
manulearius,i,,Petrikovits 1981a,Clothing,,a manufacturer of garments with long sleeves
manupretiarius,i,,Petrikovits 1981a,Unclear meaning,,"uncertain, unspecified worker, for hourly wage"
margaritarius,i,,Petrikovits 1981a,Retail,,"a dealer in pearls, a pearl-fisher"
marmarius,i,,Petrikovits 1981a,Building,Stone worker,marble worker
marmorarienses,ae,,Petrikovits 1981a,Building,Stone worker,marble worker
marmorarius,i,marmorarius,Waltzing - Rome,Building,Stone worker,marble worker
massarius,i,,Petrikovits 1981a,Metal-Working,,"unclear, maybe metal-worker"
materiarius,i,,Petrikovits 1981a,Building,Wood worker,wood-worker
medicamentarius,i,,Petrikovits 1981a,Miscellaneous Services,,"a druggist, apothecary"
medicator,oris,medicator,Waltzing - provinces,Miscellaneous Services,,a physician
medicus,i,medicus,Waltzing - Rome,Miscellaneous Services,,a surgeon
membranarius,i,,Petrikovits 1981a,Miscellaneous Services,,a parchment-maker
mensor,oris,mensor,Waltzing - Rome,Miscellaneous Services,,"a measurer, surveyor"
sonarius,i,,Petrikovits 1981a,Clothing,,belt maker
mercator,oris,mercator,Waltzing - Rome,Retail,,trader
mesor,oris,,Petrikovits 1981a,Miscellaneous Services,,"a measurer, surveyor"
metallarius,i,metallarius,Waltzing - provinces,Fuel / Raw material,,"a man or a woman that works in a mine, a miner"
metallicus,i,,Petrikovits 1981a,Fuel / Raw material,,"a man or a woman that works in a mine, a miner"
metator,oris,,Petrikovits 1981a,Miscellaneous Services,,"one who marks off, fixer of boundaries, surveyor"
mimus,i,mimus,Waltzing - Rome,Performing Arts,,mime
miniarius,i,,Petrikovits 1981a,Fuel / Raw material,,a cinnabar miner (mineral) for dying
molator,oris,,Petrikovits 1981a,Food-Production,,miller
molendarius,i,molendarius,Waltzing - Rome,Food-Production,,miller
molendinarius,i,,Petrikovits 1981a,Food-Production,,worker in a mill
molinarius,i,,Petrikovits 1981a,Food-Production,,miller
molitor,oris,,Petrikovits 1981a,Food-Production,,miller
molochinarius,i,,Petrikovits 1981a,Clothing,,A seller of mallow colored garments
molocinarius,i,,Petrikovits 1981a,Clothing,,A seller of mallow colored garments
monetarius,i,monetarius,Waltzing - Rome,Finance,,a master of the mint
montanarius,i,,Petrikovits 1981a,Death-care sector,,grave digger
moritex,icis,,Petrikovits 1981a,Unclear meaning,,unclear
mulionus,i,mulionus,Waltzing - provinces,Transport,Land transport,of a mule-driver
multiciarius,i,,Petrikovits 1981a,Clothing,,"a soft dress, delicate garment seller"
murilegulus,i,murilegulus,Waltzing - provinces,Clothing,Colour production,one who gathers or fishes for the purple-fish
murobatharius,i,,Petrikovits 1981a,Retail,,"unclear, possible dealer with luxury items"
musarius,i,,Petrikovits 1981a,Plastic Arts,,"mosaicer, maker of mosaic"
museiarius,i,,Petrikovits 1981a,Plastic Arts,,"mosaicer, maker of mosaic"
musaearius,i,,Petrikovits 1981a,Plastic Arts,,"mosaicer, maker of mosaic"
musivarius,i,,Petrikovits 1981a,Unclear meaning,,unclear
myrepsicus,i,,Petrikovits 1981a,Miscellaneous Services,,manufacturer of ointments and oils
myrrepsius,i,,Petrikovits 1981a,Miscellaneous Services,,manufacturer of ointments and oils
nauclerus,i,nauclerus,Waltzing - provinces,Transport,Maritime/water transport,"a shipowner, a ship-master, skipper"
naupegiarius,i,,Petrikovits 1981a,Transport,Maritime/water transport,"a shipbuilder, shipwright, ship-carpenter"
naupegus,i,,Petrikovits 1981a,Transport,Maritime/water transport,"a shipbuilder, shipwright, ship-carpenter"
nauta,ae,nauta,Waltzing - Rome,Transport,Maritime/water transport,"a sailor, seaman, mariner, merchant"
nauticarius,i,nauticarius,Waltzing - Rome,Transport,Maritime/water transport,a shipmaster
navalis,is,,Petrikovits 1981a,Transport,Maritime/water transport,"sailors, seamen"
navicularius,i,navicularius,Waltzing - Rome,Transport,Maritime/water transport,"a ship-owner who hires out vessels for money, a ship-master, merchant"
nauicularius,i,nauicularius,Waltzing - Rome,Transport,Maritime/water transport,"a ship-owner who hires out vessels for money, a ship-master, merchant"
navigans,ntis,navigans,Waltzing - Rome,Transport,Maritime/water transport,one who sails in a small vessel
navigator,oris,navigator,Waltzing - Rome,Transport,Maritime/water transport,sailor
navigiarius,i,navigiarius,Waltzing - Rome,Transport,Maritime/water transport,one who sails in a small vessel
negotians,ntis,negotians,Waltzing - Rome,Retail,,trader
negotiator,oris,negotiator,Waltzing - Rome,Retail,,"one who does business by wholesale, a wholesale dealer, a banker, a factor"
netrix,icis,,Petrikovits 1981a,Metal-Working,,female gold weaver
nitionus,i,nitionus,Waltzing - provinces,Food-Production,,tax-farmer
nummularius,i,nummularius,Waltzing - Rome,Finance,,a money-changer
numularius,i,,Petrikovits 1981a,Finance,,a money-changer
oculariarius,i,,Petrikovits 1981a,Plastic Arts,,"artisan, glass eye maker for statues"
offarius,i,,Petrikovits 1981a,Food-Production,,"dealing with morsels: cocus, a maker of minced meat "
offector,oris,,Petrikovits 1981a,Clothing,Colour production,dyer
offectorus,i,offectorus,Waltzing - provinces,Clothing,Colour production,dye maker
officinator,oris,,Petrikovits 1981a,Miscellaneous Services,,"one who keeps a workshop, a master-workman, an artificer, artist"
officinatrix,icis,,Petrikovits 1981a,Miscellaneous Services,,"female one who keeps a workshop, a master-workman, an artificer, artist"
olarius,i,,Petrikovits 1981a,Household Goods,,potter
oleareus,i,,Petrikovits 1981a,Food-Production,,"oil-maker, olive oil dealer"
olearius,i,olearius,Waltzing - Rome,Food-Production,,"oil-maker, olive oil dealer"
olitor,oris,olitor,Waltzing - provinces,Food-Production,,a kitchen-gardener
ollarius,i,,Petrikovts 1981b,Household Goods,,potter
operarius,i,,Petrikovits 1981a,Miscellaneous Services,,"a laborer, workman, operative"
opifex,icis,opifex,Waltzing - provinces,Building,,"a worker, workman, mechanic, artisan"
orchestopolarius,i,orchestopolarius,Waltzing - provinces,Performing Arts,,"a juggler, dancer"
ornator,oris,,Petrikovits 1981a,Miscellaneous Services,,"An adorner, dresser"
ornatrix,icis,,Petrikovits 1981a,Miscellaneous Services,,"female adorner, dresser"
paenularius,i,,Petrikovits 1981a,Clothing,,cloak or mantle maker and seller
palangarius,i,palangarius,Waltzing - Rome,Food-Retail,,wine bearer
palariacus,i,,Petrikovits 1981a,Unclear meaning,,unclear
panarius,i,,Petrikovits 1981a,Food-Retail,,a bread-seller
panchrestiarius,i,,Petrikovits 1981a,Food-Production,,a confectioner
pancrestarius,i,,Petrikovits 1981a,Food-Production,,a confectioner
panifex,icis,,Petrikovits 1981a,Food-Production,,"a breadmaker, baker"
panificus,i,,Petrikovits 1981a,Food-Production,,"a breadmaker, baker"
pantapolus,i,pantapolus,Waltzing - Rome,Retail,,greek trader
pantomimus,i,pantomimus,Waltzing - provinces,Performing Arts,,a ballet-dancer
parabolanus,i,parabolanus,Waltzing - provinces,Miscellaneous Services,,a sick-nurse
paracharactes,ae,,Petrikovits 1981a,Finance,,"counterfeiter, forger"
parasitus,i,parasitus,Waltzing - provinces,Performing Arts,,"a player, actor"
parietarius,i,,Petrikovits 1981a,Plastic Arts,,a painter
parmaluraius,i,,Petrikovits 1981a,Miscellaneous Services,Military,small shield maker
pastilarius,i,pastilarius,Waltzing - Rome,Food-Production,,a maker of pastils
pastillarius,i,,Petrikovits 1981a,Food-Production,,a maker of pastils
patagiarius,i,,Petrikovits 1981a,Clothing,,a boler-maker (a gold edging or border on a Roman lady's tunic)
pausarius,i,pausarius,Waltzing - Rome,Finance,,"A money-changer, banker"
pavimentarius,i,pavimentarius,Waltzing - Rome,Building,Stone worker,a maker of pavements
pectenarius,i,,Petrikovits 1981a,Household Goods,,a combmaker
pectinarius,i,,Petrikovits 1981a,Household Goods,,a combmaker
pectinator,oris,,Petrikovits 1981a,Household Goods,,a combmaker
pecuarius,i,pecuarius,Waltzing - Rome,Food-Production,,"sheep, cattle breader"
pellarius,i,,Petrikovits 1981a,Clothing,,"one that prepares skins, a furrier"
pellio,onis,,Petrikovits 1981a,Clothing,,"one that prepares skins, a furrier"
pellionarius,i,pellionarius,Waltzing - Rome,Clothing,,one who prepared skins for the use of soldiers
peponarius,i,peponarius,Waltzing - Rome,Food-Retail,,melon seller
pequarius,i,pequarius,Waltzing - Rome,Food-Production,,"sheep, cattle breader"
perfector,oris,,Petrikovits 1981a,Unclear meaning,,unclear
pernarius,i,,Petrikovits 1981a,Food-Retail,,a ham-seller
perpendiculator,oris,,Petrikovits 1981a,Building,,"an artisan who uses a plumb-line, a stonemason"
personarius,i,,Petrikovits 1981b,Miscellaneous Services,,mask maker
pharmacopola,ae,pharmacopola,Waltzing - provinces,Retail,,"a drugseller, quack"
phrygio,onis,,Petrikovits 1981a,Metal-Working,,goldsticker
picarius,i,,Petrikovits 1981a,Fuel / Raw material,,pitch (resin) boiler
pictor,oris,,Petrikovits 1981a,Plastic Arts,,painter
pigmentarius,i,pigmentarius,Waltzing - Rome,Retail,,dye seller
pincerna,ae,,Petrikovits 1981a,Miscellaneous Services,,cupbearer
pinctor,oris,,Petrikovits 1981a,Plastic Arts,,painter
piscator,oris,piscator,Waltzing - Rome,Food-Production,,"a fisherman, fisher"
piscicapus,i,piscicapus,Waltzing - provinces,Food-Production,,a fish-catcher
pisticarius,i,,Petrikovits 1981a,Food-Production,,baker
pistor,oris,pistor,Waltzing - Rome,Food-Production,,"one who pounds corn in a mortar or grinds it in a hand-mill, a miller, a baker"
pistrinarius,i,,Petrikovits 1981b,Food-Production,,"the manager of a pounding-mill, a miller"
pistur,uris,,Petrikovits 1981a,Food-Production,,"one who pounds corn in a mortar or grinds it in a hand-mill, a miller, a baker"
pistrix,icis,,Petrikovits 1981a,Food-Production,,female baker
placentarius,i,,Petrikovits 1981a,Food-Production,,a pastry-cook
plasta,ae,,Petrikovits 1981a,Plastic Arts,,"a moulder, potter, modeller, statuary"
plastes,ae,,Petrikovits 1981a,Plastic Arts,,"a moulder, potter, modeller, statuary"
plasticator,oris,,Petrikovits 1981a,Plastic Arts,,"a moulder, potter, modeller, statuary"
plasticus,i,,Petrikovits 1981a,Plastic Arts,,"a moulder, potter, modeller, statuary"
plaustrarius,i,,Petrikovits 1981a,Transport,Land transport,"a vehicle for freight, wagon, wain, cart maker"
plicatrix,icis,,Petrikovits 1981a,Clothing,,"female dress maker, tailor"
plombarius,i,,Petrikovits 1981a,Metal-Working,,"a plumber, lead worker"
plostrarius,i,,Petrikovits 1981a,Transport,Land transport,"a vehicle for freight, wagon, wain, cart maker"
plumarius,i,plumarius,Waltzing - Rome,Household Goods,,an embroiderer
plumbarius,i,,Petrikovits 1981a,Metal-Working,,"a plumber, lead worker"
plutearius,i,,Petrikovits 1981a,Building,,a maker of balustrades
plutiarius,i,,Petrikovits 1981a,Building,,a maker of balustrades
poeta,ae,poeta,Waltzing - Rome,Performing Arts,,a poet
polio,onis,,Petrikovits 1981a,Miscellaneous Services,,"a cultivator, improver, a polisher"
politor,oris,,Petrikovits 1981a,Miscellaneous Services,,"a cultivator, improver, a polisher"
pollictor,oris,,Petrikovits 1981a,Death-care sector,,corpse washer and preparer
pollinctor,oris,,Petrikovits 1981a,Death-care sector,,corpse washer and preparer
pollio,onis,,Petrikovits 1981a,Miscellaneous Services,,"a cultivator, improver, a polisher"
polymitarius,i,,Petrikovits 1981a,Clothing,,a damask-weaver
pomarius,i,pomarius,Waltzing - provinces,Food-Retail,,"of fruit, of fruittrees seller"
popinarius,i,,Petrikovits 1981a,Food-Retail,,"a cook-shop, eatinghouse, low tavern owner"
popinator,oris,,Petrikovits 1981a,Food-Retail,,"a cook-shop, eatinghouse, low tavern owner"
porcinarius,i,porcinarius,Waltzing - Rome,Food-Production,,pig breader
possessor,oris,possessor,Waltzing - provinces,Managerial,,"a possessor, owner"
professor,oris,professor,Waltzing - provinces,Education,,a public teacher
promus,i,,Petrikovits 1981a,Miscellaneous Services,,"a cellarer, steward, butler"
propola,ae,propola,Waltzing - provinces,Retail,,"a forestaller, retailer, huckster"
prosmonus,i,,Petrikovits 1981a,Unclear meaning,,unclear
prossaria,ae,,Petrikovits 1981a,Clothing,,woolen fabrics maker
psaltes,ae,psaltes,Waltzing - Rome,Performing Arts,,cithara player
psecas,adis,,Petrikovits 1981a,Miscellaneous Services,,a female slave who perfumed her mistress's hair
pugillariarius,i,,Petrikovits 1981a,Miscellaneous Services,,maker of small writing boards
purpurarius,i,,Petrikovits 1981a,Clothing,Colour production,purple colour dyer
putearius,i,,Petrikovits 1981a,Building,,a well-digger
quadratarius,i,,Petrikovits 1981a,Building,Stone worker,stonemason
quadratatorius,i,,Petrikovits 1981a,Building,Stone worker,stonemason
quadrigularius,i,,Petrikovits 1981a,Plastic Arts,,a painter
quasillaria,ae,,Petrikovits 1981a,Clothing,,"a basketwench, spinning-girl"
raedarius,i,,Petrikovits 1981a,Transport,Land transport,"a coachman, driver of a raeda"
ratiarius,i,ratiarius,Waltzing - provinces,Transport,Maritime/water transport,"a raftsman, lighterman"
redemptor,oris,,Petrikovits 1981a,Food-Production,,"a miller, bread-maker, baker"
