,threshold (=/>),proportion,N
0,0.4,0.96,80114
1,0.45,0.87,72302
2,0.5,0.85,70967
3,0.55,0.83,69502
4,0.6,0.82,68226
5,0.65,0.8,66784
6,0.7,0.78,65299
7,0.75,0.76,63790
8,0.8,0.74,61813
9,0.85,0.71,59179
10,0.9,0.68,56699
11,0.95,0.62,51400
