,Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Longitude (X),Latitude (Y),Select Bibliography,Area,Estimate Basis,Civic Status,Structure,num_of_structures
317,Hanson2016_318,Teus,Si?acik,Asia,Turkey,3,56 D5,-620,,26.785014,38.177262,BNP; Boatwright 2000; DGRG; Hansen 2006; Hansen and Nielsen 2004; Jones 1937; PECS; Quinn and Wilson 2013; Sear 2006.,78.0,Walls,,"['Acropolis', 'Agora?', 'Aqueduct', 'Gymnasium', 'Harbour', 'Odeum', ""Temple ('capitolium')"", 'Temple of Dionysus', 'Theatre', 'Unidentified public building', 'Urban grid?', 'Walls', 'Walls']",13
318,Hanson2016_319,Theangela,Etrim,Asia,Turkey,4 or 5,61 F3,-361,,27.594929999999998,37.044492,BNP; Hansen 2006; Hansen and Nielsen 2004; PECS.,27.0,Walls,,"['Acropolis', 'Stadium?', 'Walls']",3
319,Hanson2016_320,Thyatira,Akhisar,Asia,Turkey,3,56 F4,-281,,27.840522999999997,38.922933,BNP; Cohen 1995; DGRG; Jones 1937; PECS.,,,"['Metropolis capital', 'Rights and privileges']","['Acropolis', 'Stoa', 'Temple', 'Walls']",4
320,Hanson2016_321,Tralles,Aydin,Asia,Turkey,3,61 F2,-600,,27.833862,37.859752,BNP; Cohen 1995; DGRG; Hansen and Nielsen 2004; Jones 1937; PECS; Sear 2006.,,,"['Conventus capital', 'Metropolis capital']","['Acropolis', 'Agora', 'Ekklesiasterion', 'Gymnasium', 'Stadium', 'Theatre']",6
321,Hanson2016_322,Abdera (Baetica),Adra,Baetica,Spain,3,27 B5,-200,,-3.022514,36.748067999999996,BNP.,,,['Municipium'],,0
322,Hanson2016_323,Acinippo,Ronda la Vieja,Baetica,Spain,4 or 5,26 E5,-45,,-5.240746,36.832412,Carreras Monfort 1995-1996; DGRG; Keay 1998; MacMullen 2000; McEvedy 2011; Sear 2006.,35.0,Inhabited area,"['Colonia', 'Colonia?']","['Aqueduct', 'Baths', 'Forum', 'Temple', 'Theatre', 'Urban grid?']",6
323,Hanson2016_324,Arva,El Castillejo,Baetica,Spain,3,26 E4,-50,,-5.671303,37.614174,DGRG.,,,['Municipium'],['Bridge'],1
324,Hanson2016_325,Asido,Medina Sidonia,Baetica,Spain,3,26 E5,-50,,-5.927867,36.467791,Brunt 1971; Cornell and Mathews 1982; DGRG; Keay 1998; MacMullen 2000; PECS; Salmon 1969.,,,"['Colonia', 'Municipium', 'Rights and privileges', 'Rights and privileges']",,0
325,Hanson2016_326,Astigi,Ecija,Baetica,Spain,2,26 E4,-45,,-5.079949,37.540932,BNP; Brunt 1971; Carreras Monfort 1995-1996; Cornell and Mathews 1982; DGRG; Keay 1998; MacMullen 2000; PECS; Salmon 1969.,77.0,Urban grid and walls,"['Colonia', 'Colonia?', 'Conventus capital', 'Rights and privileges', 'Rights and privileges']","['Amphitheatre', 'Forum', 'Temple', 'Urban grid', 'Walls']",5
326,Hanson2016_327,Aurgi,Jaen,Baetica,Spain,3,27 B4,-50,,-3.808119,37.791928999999996,DGRG.,,,['Municipium'],,0
