,id,label,rank,x,y,province,modern,geometry,hanson_label,hanson_ID,pop_est,hanson_geo,dist,EDH_per1,EDCS_per1,EDH_per2,EDCS_per2,EDH_per3,EDCS_per3
465,50474,Portus Magnus,70,-0.266,35.808,Mauretania Caesariensis,Algeria,POINT (-0.266 35.808),Portus Magnus,1182,1000.0,"[-0.266018, 35.807917]",8.492938242692025e-05,[],['EDCS-25500582'],[],['EDCS-25500569'],"['HD033385', 'HD000463', 'HD052542', 'HD033325', 'HD033415', 'HD033388', 'HD030633']","['EDCS-25500560', 'EDCS-26800812', 'EDCS-26800790']"
411,50418,Vienna,90,4.878,45.523999999999994,Narbonensis,France,POINT (4.878 45.52399999999999),Vienna,658,15332.0,"[4.878056, 45.524167]",0.00017613914954248033,"['HD001171', 'HD001626', 'HD001620', 'HD001623', 'HD049635', 'HD049631', 'HD044750', 'HD022616', 'HD047646', 'HD049632', 'HD049629', 'HD049630', 'HD046909', 'HD004577']","['EDCS-09200592', 'EDCS-09200607', 'EDCS-09200608', 'EDCS-08501598', 'EDCS-32803571', 'EDCS-72500001', 'EDCS-72500004', 'EDCS-08501699', 'EDCS-13301924', 'EDCS-08501539', 'EDCS-08501564', 'EDCS-75200211', 'EDCS-08501532', 'EDCS-08501536', 'EDCS-08501544', 'EDCS-08501569', 'EDCS-08501570', 'EDCS-08501571', 'EDCS-08501572', 'EDCS-08501591', 'EDCS-08501599', 'EDCS-08501601', 'EDCS-08501618', 'EDCS-08501637', 'EDCS-08501638', 'EDCS-08501647', 'EDCS-08501652', 'EDCS-08501653', 'EDCS-08501665', 'EDCS-08501675', 'EDCS-08501676', 'EDCS-08501682', 'EDCS-08501693', 'EDCS-08501700', 'EDCS-08501722', 'EDCS-08501743', 'EDCS-08501754', 'EDCS-08501755', 'EDCS-13301934']","['HD052078', 'HD052079', 'HD001617', 'HD052073', 'HD050227', 'HD047646', 'HD049632', 'HD049630', 'HD048440']","['EDCS-09200591', 'EDCS-09200607', 'EDCS-09200608', 'EDCS-09500321', 'EDCS-08501598', 'EDCS-09200589', 'EDCS-72500002', 'EDCS-09200688', 'EDCS-09200716', 'EDCS-09500318', 'EDCS-09200590', 'EDCS-08501539', 'EDCS-08501603', 'EDCS-08501768', 'EDCS-75200211', 'EDCS-08501532', 'EDCS-08501534', 'EDCS-08501536', 'EDCS-08501537', 'EDCS-08501544', 'EDCS-08501563', 'EDCS-08501583', 'EDCS-08501585', 'EDCS-08501597', 'EDCS-08501599', 'EDCS-08501601', 'EDCS-08501620', 'EDCS-08501623', 'EDCS-08501626', 'EDCS-08501642', 'EDCS-08501644', 'EDCS-08501647', 'EDCS-08501650', 'EDCS-08501651', 'EDCS-08501653', 'EDCS-08501661', 'EDCS-08501662', 'EDCS-08501670', 'EDCS-08501671', 'EDCS-08501676', 'EDCS-08501682', 'EDCS-08501685', 'EDCS-08501695', 'EDCS-08501698', 'EDCS-08501700', 'EDCS-08501705', 'EDCS-08501713', 'EDCS-08501720', 'EDCS-08501722', 'EDCS-08501727', 'EDCS-08501728', 'EDCS-08501730', 'EDCS-08501735', 'EDCS-08501741', 'EDCS-08501748', 'EDCS-08501749', 'EDCS-08501750', 'EDCS-08501767', 'EDCS-08501773', 'EDCS-08501775', 'EDCS-09302838', 'EDCS-13301933', 'EDCS-13301943', 'EDCS-10501465']","['HD001617', 'HD050227', 'HD053527']","['EDCS-09200591', 'EDCS-09500338', 'EDCS-09200688', 'EDCS-09200716', 'EDCS-76400177', 'EDCS-08501534', 'EDCS-08501537', 'EDCS-08501574', 'EDCS-08501597', 'EDCS-08501642', 'EDCS-08501643', 'EDCS-08501644', 'EDCS-08501662', 'EDCS-08501670', 'EDCS-08501671', 'EDCS-08501695', 'EDCS-08501698', 'EDCS-08501705', 'EDCS-08501720', 'EDCS-08501727', 'EDCS-08501748', 'EDCS-08501750', 'EDCS-08501773', 'EDCS-08501775', 'EDCS-09500316', 'EDCS-09500317', 'EDCS-12400046']"
126,50131,Corduba,100,-4.78,37.884,Baetica,Spain,POINT (-4.78 37.884),Corduba,336,19404.0,"[-4.78025, 37.88376]",0.0003465544690214773,"['HD006599', 'HD000035', 'HD028010', 'HD013569', 'HD028013', 'HD028016', 'HD028019', 'HD013566', 'HD030350', 'HD030356', 'HD030374', 'HD030377', 'HD030380', 'HD030383', 'HD030386', 'HD010992', 'HD030398', 'HD030410', 'HD030413', 'HD029449', 'HD023029', 'HD000918', 'HD000780', 'HD013596', 'HD031823', 'HD006596', 'HD027986', 'HD027992', 'HD027995', 'HD011849', 'HD029486', 'HD029495', 'HD029504', 'HD031454', 'HD031457', 'HD029860', 'HD029803', 'HD027950', 'HD027953', 'HD007479', 'HD000047', 'HD029614', 'HD029626', 'HD023304', 'HD017015', 'HD029214', 'HD017482', 'HD001212', 'HD030317', 'HD032162', 'HD000270', 'HD000270', 'HD000032', 'HD027971', 'HD027974', 'HD029524', 'HD029527', 'HD029680', 'HD029686', 'HD029692', 'HD029695', 'HD003224', 'HD029701', 'HD029704', 'HD002740', 'HD028694', 'HD011009', 'HD000924', 'HD029606', 'HD029609', 'HD029437', 'HD029440', 'HD030797', 'HD018213', 'HD019125', 'HD019764', 'HD003146', 'HD028950', 'HD054317', 'HD028046', 'HD028049', 'HD007482', 'HD028055', 'HD028061', 'HD028064', 'HD028067', 'HD028070', 'HD028073', 'HD028076', 'HD028079', 'HD028082', 'HD028100', 'HD028118', 'HD028124', 'HD026620', 'HD026626', 'HD028139', 'HD028142', 'HD028193', 'HD003490', 'HD025215', 'HD028205', 'HD028214', 'HD028220', 'HD028223', 'HD028226', 'HD028229', 'HD028232', 'HD004124', 'HD028244', 'HD028265', 'HD028271', 'HD028280', 'HD028286', 'HD028295', 'HD028313', 'HD028316', 'HD028319', 'HD028322', 'HD028325', 'HD028331', 'HD028340', 'HD011239', 'HD028343', 'HD028349', 'HD003253', 'HD028355', 'HD028358', 'HD028361', 'HD028364', 'HD028379', 'HD028388', 'HD016522', 'HD016507', 'HD028391', 'HD007545', 'HD011236', 'HD016501', 'HD028394', 'HD028400', 'HD001017', 'HD028403', 'HD028406', 'HD028412', 'HD028421', 'HD028424', 'HD003721', 'HD028427', 'HD011242', 'HD028430', 'HD003134', 'HD028433', 'HD029217', 'HD028439', 'HD016573', 'HD028460', 'HD028460', 'HD028463', 'HD028469', 'HD028472', 'HD028475', 'HD028487', 'HD028490', 'HD028493', 'HD028496', 'HD028496', 'HD028505', 'HD028523', 'HD028526', 'HD028538', 'HD028556', 'HD028562', 'HD028565', 'HD028577', 'HD028583', 'HD028595', 'HD028604', 'HD028610', 'HD028613', 'HD028616', 'HD004214', 'HD028631', 'HD028637', 'HD013581', 'HD028643', 'HD028649', 'HD028652', 'HD028655', 'HD028658', 'HD028667', 'HD028670', 'HD028673', 'HD028679', 'HD028685', 'HD028688', 'HD028691', 'HD028697', 'HD028706', 'HD028709', 'HD028721', 'HD004838', 'HD016528', 'HD028727', 'HD028733', 'HD028742', 'HD028760', 'HD028769', 'HD028781', 'HD028784', 'HD028799', 'HD028805', 'HD028808', 'HD028811', 'HD028814', 'HD028817', 'HD028832', 'HD028847', 'HD028856', 'HD028859', 'HD028877', 'HD028880', 'HD028901', 'HD028904', 'HD028919', 'HD028928', 'HD028934', 'HD028937', 'HD028949', 'HD028952', 'HD028955', 'HD028967', 'HD028973', 'HD028976', 'HD028979', 'HD028982', 'HD028988', 'HD028991', 'HD028994', 'HD028997', 'HD029006', 'HD029015', 'HD029036', 'HD029069', 'HD029072', 'HD029075', 'HD029078', 'HD029078', 'HD029081', 'HD029084', 'HD029084', 'HD029090', 'HD029102', 'HD029111', 'HD029126', 'HD029129', 'HD029132', 'HD029162', 'HD029165', 'HD029168', 'HD029171', 'HD029180', 'HD029192', 'HD029198', 'HD029201', 'HD029204', 'HD029207', 'HD029210', 'HD029213', 'HD029405', 'HD029411', 'HD029435', 'HD029444', 'HD002737', 'HD029450', 'HD029453', 'HD029459', 'HD029471', 'HD029477', 'HD054318', 'HD049397', 'HD032168', 'HD032171', 'HD000906', 'HD031871', 'HD026396', 'HD031838', 'HD031841', 'HD031874', 'HD000993', 'HD030092', 'HD031862', 'HD031868', 'HD003715', 'HD031883', 'HD031886', 'HD031895', 'HD031898', 'HD031901', 'HD031904', 'HD002838', 'HD001013', 'HD031940', 'HD031943', 'HD013572', 'HD031955', 'HD031958', 'HD031967', 'HD031970', 'HD031973', 'HD031979', 'HD031982', 'HD031985', 'HD031988', 'HD000792', 'HD002844', 'HD032000', 'HD000999', 'HD000852', 'HD032021', 'HD032030', 'HD002856', 'HD000858', 'HD000789', 'HD001002', 'HD032036', 'HD000798', 'HD000801', 'HD032045', 'HD032048', 'HD000897', 'HD032057', 'HD000849', 'HD000855', 'HD032069', 'HD032072', 'HD032084', 'HD032087', 'HD002850', 'HD032105', 'HD032108', 'HD032150', 'HD002937', 'HD032189', 'HD032243', 'HD046700', 'HD046701', 'HD046702', 'HD044592', 'HD028028', 'HD028037', 'HD031304', 'HD000044', 'HD013366', 'HD004160', 'HD011004', 'HD031826', 'HD031829', 'HD030785', 'HD030785', 'HD029809', 'HD029827', 'HD029836', 'HD029842', 'HD029845', 'HD031319', 'HD031328', 'HD031367', 'HD031373', 'HD030149', 'HD030152', 'HD032249', 'HD003830', 'HD000921', 'HD029621', 'HD004193', 'HD000930', 'HD032165', 'HD003586', 'HD030803', 'HD030806', 'HD030326', 'HD032156', 'HD009229', 'HD032252', 'HD031766', 'HD030167', 'HD030875', 'HD031316', 'HD030836', 'HD031805', 'HD048797', 'HD031508', 'HD031466', 'HD029608', 'HD030437', 'HD029896', 'HD029896', 'HD030095', 'HD004217', 'HD030098', 'HD030644', 'HD030101', 'HD030110', 'HD030113', 'HD030116', 'HD030119', 'HD030122', 'HD030125', 'HD030128', 'HD030161', 'HD010986', 'HD030188', 'HD030191', 'HD030203', 'HD030206', 'HD030209', 'HD030299', 'HD027833', 'HD027836', 'HD027839', 'HD027842', 'HD027845', 'HD027848', 'HD027851', 'HD027854', 'HD027857', 'HD027860', 'HD027863', 'HD027869', 'HD027872', 'HD027878', 'HD027890', 'HD027893', 'HD027896', 'HD027920', 'HD027947', 'HD030425', 'HD000276', 'HD030440', 'HD028132', 'HD017936', 'HD028040', 'HD031535', 'HD031559', 'HD031562', 'HD001510', 'HD031568', 'HD000915', 'HD006401', 'HD031586', 'HD001008', 'HD031592', 'HD031598', 'HD031607', 'HD001507', 'HD031637', 'HD000909', 'HD000912', 'HD031646', 'HD031667', 'HD031670', 'HD054295', 'HD004412', 'HD008738', 'HD008717', 'HD004415', 'HD004103', 'HD004099', 'HD051970', 'HD003140', 'HD027782', 'HD029531', 'HD029534', 'HD029549', 'HD029503', 'HD016886', 'HD031856', 'HD031859', 'HD002859', 'HD030182', 'HD029971', 'HD029974', 'HD030086', 'HD026726', 'HD029722', 'HD029725', 'HD029764', 'HD029770', 'HD029773', 'HD029779', 'HD029782', 'HD029785', 'HD007494', 'HD005928', 'HD007476', 'HD029575', 'HD029581', 'HD052030', 'HD024926', 'HD033612']","['EDCS-72600014', 'EDCS-75900070', 'EDCS-75900071', 'EDCS-75300100', 'EDCS-05600082', 'EDCS-05600085', 'EDCS-05600086', 'EDCS-21700303', 'EDCS-05600089', 'EDCS-21700301', 'EDCS-05600090', 'EDCS-05600091', 'EDCS-05600093', 'EDCS-05600094', 'EDCS-21700300', 'EDCS-05601279', 'EDCS-09000524', 'EDCS-74200419', 'EDCS-68300039', 'EDCS-05600083', 'EDCS-05600084', 'EDCS-75300093', 'EDCS-75300094', 'EDCS-64900630', 'EDCS-76000002', 'EDCS-76000004', 'EDCS-76000005', 'EDCS-76000007', 'EDCS-76000008', 'EDCS-75900216', 'EDCS-72800101', 'EDCS-69200319', 'EDCS-18700205', 'EDCS-75900230', 'EDCS-72800100', 'EDCS-22200158', 'EDCS-68200001', 'EDCS-72800102', 'EDCS-75300090', 'EDCS-60300291']","['HD006608', 'HD006605', 'HD006602', 'HD006599', 'HD000035', 'HD031532', 'HD028007', 'HD028013', 'HD013566', 'HD031526', 'HD030347', 'HD030353', 'HD030359', 'HD030362', 'HD030365', 'HD030368', 'HD030371', 'HD030401', 'HD030404', 'HD030407', 'HD030410', 'HD030413', 'HD004100', 'HD030416', 'HD029455', 'HD029458', 'HD029461', 'HD029464', 'HD029467', 'HD029473', 'HD029476', 'HD029479', 'HD000918', 'HD031820', 'HD013596', 'HD006596', 'HD027968', 'HD029452', 'HD027986', 'HD027989', 'HD028001', 'HD031379', 'HD031382', 'HD031385', 'HD011849', 'HD008747', 'HD008750', 'HD029489', 'HD029489', 'HD029492', 'HD029504', 'HD029507', 'HD030323', 'HD031457', 'HD029803', 'HD029806', 'HD027953', 'HD027956', 'HD027959', 'HD027965', 'HD000047', 'HD029614', 'HD029626', 'HD029629', 'HD023304', 'HD011852', 'HD010943', 'HD000267', 'HD007246', 'HD017482', 'HD010925', 'HD009232', 'HD020191', 'HD029638', 'HD027974', 'HD000004', 'HD029521', 'HD029524', 'HD000264', 'HD029530', 'HD029539', 'HD029542', 'HD029545', 'HD029548', 'HD029863', 'HD029566', 'HD029680', 'HD029698', 'HD011000', 'HD011009', 'HD029606', 'HD029609', 'HD029211', 'HD029437', 'HD029440', 'HD031802', 'HD030794', 'HD026756', 'HD005062', 'HD000273', 'HD033219', 'HD028061', 'HD028070', 'HD001014', 'HD028073', 'HD028082', 'HD028097', 'HD028103', 'HD028106', 'HD028115', 'HD028121', 'HD028127', 'HD028196', 'HD028202', 'HD028205', 'HD028211', 'HD028214', 'HD028217', 'HD028226', 'HD002743', 'HD028235', 'HD001011', 'HD028238', 'HD011245', 'HD028241', 'HD015380', 'HD028244', 'HD006867', 'HD028253', 'HD028256', 'HD028259', 'HD028262', 'HD028265', 'HD011251', 'HD028268', 'HD016570', 'HD028274', 'HD028277', 'HD028283', 'HD028286', 'HD028289', 'HD028292', 'HD028295', 'HD011855', 'HD011855', 'HD028319', 'HD004835', 'HD028328', 'HD028334', 'HD028346', 'HD028352', 'HD028367', 'HD028370', 'HD016525', 'HD028373', 'HD028376', 'HD028382', 'HD028385', 'HD016531', 'HD016507', 'HD028391', 'HD010002', 'HD016504', 'HD016510', 'HD019076', 'HD011236', 'HD016519', 'HD016501', 'HD011233', 'HD028397', 'HD028400', 'HD001017', 'HD028412', 'HD028415', 'HD028418', 'HD028421', 'HD028424', 'HD028427', 'HD011242', 'HD028430', 'HD028433', 'HD003401', 'HD028436', 'HD028442', 'HD009235', 'HD028448', 'HD028451', 'HD028454', 'HD016573', 'HD028457', 'HD028460', 'HD028460', 'HD028469', 'HD028472', 'HD028475', 'HD028478', 'HD028481', 'HD028484', 'HD028499', 'HD028502', 'HD028508', 'HD028511', 'HD028514', 'HD028517', 'HD028520', 'HD028532', 'HD028535', 'HD028535', 'HD028544', 'HD028547', 'HD028550', 'HD028553', 'HD028559', 'HD028568', 'HD028571', 'HD028574', 'HD028586', 'HD028589', 'HD028592', 'HD028601', 'HD028610', 'HD028619', 'HD028622', 'HD028625', 'HD028628', 'HD028634', 'HD028637', 'HD028640', 'HD028643', 'HD028646', 'HD028655', 'HD028661', 'HD028664', 'HD028667', 'HD028676', 'HD028682', 'HD028691', 'HD020651', 'HD028700', 'HD028703', 'HD028712', 'HD028718', 'HD028724', 'HD028730', 'HD028736', 'HD028739', 'HD028742', 'HD028745', 'HD010983', 'HD028748', 'HD028751', 'HD028754', 'HD028757', 'HD028763', 'HD028772', 'HD028775', 'HD028778', 'HD028787', 'HD028790', 'HD028793', 'HD028796', 'HD028799', 'HD028802', 'HD028811', 'HD028820', 'HD028823', 'HD028826', 'HD028829', 'HD028832', 'HD028835', 'HD028841', 'HD028844', 'HD028847', 'HD028853', 'HD028856', 'HD004862', 'HD028862', 'HD028865', 'HD028868', 'HD028871', 'HD028874', 'HD028877', 'HD028880', 'HD028883', 'HD028886', 'HD028889', 'HD028895', 'HD028898', 'HD028910', 'HD028913', 'HD028916', 'HD028922', 'HD028925', 'HD028931', 'HD028934', 'HD028940', 'HD028943', 'HD028946', 'HD028949', 'HD028958', 'HD028961', 'HD028964', 'HD028967', 'HD028970', 'HD028973', 'HD028979', 'HD028985', 'HD028988', 'HD028991', 'HD028994', 'HD028997', 'HD029000', 'HD029003', 'HD029009', 'HD029012', 'HD029018', 'HD029021', 'HD029024', 'HD029027', 'HD029030', 'HD029033', 'HD029039', 'HD029045', 'HD029069', 'HD029075', 'HD029093', 'HD029096', 'HD029099', 'HD029105', 'HD029108', 'HD029114', 'HD029120', 'HD029123', 'HD029129', 'HD029135', 'HD029138', 'HD029141', 'HD029150', 'HD029153', 'HD029156', 'HD029159', 'HD029162', 'HD029165', 'HD029171', 'HD029204', 'HD029432', 'HD029438', 'HD029441', 'HD006512', 'HD029453', 'HD029456', 'HD029462', 'HD029465', 'HD029468', 'HD029474', 'HD029477', 'HD029480', 'HD050078', 'HD054320', 'HD051975', 'HD031796', 'HD000783', 'HD008723', 'HD032174', 'HD031835', 'HD031838', 'HD032177', 'HD031793', 'HD007536', 'HD031865', 'HD031868', 'HD031877', 'HD008687', 'HD008690', 'HD031889', 'HD031892', 'HD031898', 'HD031904', 'HD031907', 'HD002835', 'HD002838', 'HD031910', 'HD031913', 'HD031916', 'HD031819', 'HD031922', 'HD031925', 'HD031928', 'HD031931', 'HD031934', 'HD031937', 'HD031946', 'HD031949', 'HD031952', 'HD031961', 'HD031964', 'HD031970', 'HD031976', 'HD031991', 'HD031994', 'HD031997', 'HD032000', 'HD032006', 'HD000999', 'HD032009', 'HD000852', 'HD032015', 'HD032018', 'HD032021', 'HD032024', 'HD032033', 'HD001459', 'HD001002', 'HD032039', 'HD032042', 'HD000897', 'HD032051', 'HD032054', 'HD000849', 'HD032060', 'HD000855', 'HD032063', 'HD000795', 'HD032066', 'HD032072', 'HD032075', 'HD032078', 'HD032081', 'HD032084', 'HD032093', 'HD002847', 'HD002850', 'HD002943', 'HD032096', 'HD032099', 'HD032102', 'HD032105', 'HD032108', 'HD032114', 'HD032144', 'HD032186', 'HD032240', 'HD044591', 'HD044592', 'HD044593', 'HD032183', 'HD030878', 'HD017982', 'HD030881', 'HD030884', 'HD030887', 'HD030890', 'HD031268', 'HD031271', 'HD031274', 'HD031277', 'HD031280', 'HD031283', 'HD031286', 'HD031289', 'HD031295', 'HD031298', 'HD031304', 'HD031307', 'HD031310', 'HD029641', 'HD013366', 'HD000038', 'HD023442', 'HD032246', 'HD011004', 'HD031826', 'HD031829', 'HD031832', 'HD022804', 'HD029824', 'HD029827', 'HD029839', 'HD029845', 'HD029854', 'HD031322', 'HD031325', 'HD011013', 'HD031331', 'HD031334', 'HD031340', 'HD031343', 'HD031346', 'HD031349', 'HD031352', 'HD031355', 'HD017985', 'HD031358', 'HD031361', 'HD031364', 'HD031370', 'HD031391', 'HD031400', 'HD031406', 'HD031412', 'HD031415', 'HD031418', 'HD031421', 'HD031427', 'HD031433', 'HD031472', 'HD031478', 'HD031481', 'HD031484', 'HD030164', 'HD032249', 'HD030392', 'HD029512', 'HD031308', 'HD003586', 'HD029671', 'HD030869', 'HD030326', 'HD009229', 'HD031769', 'HD030173', 'HD007527', 'HD030176', 'HD030185', 'HD030308', 'HD030836', 'HD031805', 'HD031487', 'HD031490', 'HD031493', 'HD031496', 'HD031499', 'HD031502', 'HD031529', 'HD031505', 'HD031448', 'HD031463', 'HD029554', 'HD029602', 'HD029893', 'HD018082', 'HD030125', 'HD004220', 'HD030131', 'HD030134', 'HD030137', 'HD013584', 'HD030191', 'HD030194', 'HD030197', 'HD030197', 'HD030200', 'HD030203', 'HD030206', 'HD030209', 'HD030221', 'HD030221', 'HD030227', 'HD030230', 'HD030233', 'HD030236', 'HD030245', 'HD030293', 'HD030296', 'HD030299', 'HD030311', 'HD030329', 'HD030332', 'HD030335', 'HD030338', 'HD030341', 'HD030344', 'HD029509', 'HD027827', 'HD027842', 'HD027851', 'HD027854', 'HD027857', 'HD027863', 'HD027866', 'HD027875', 'HD027881', 'HD027884', 'HD027887', 'HD027893', 'HD030320', 'HD030428', 'HD014451', 'HD026124', 'HD027994', 'HD018987', 'HD029644', 'HD010729', 'HD010729', 'HD031538', 'HD031541', 'HD031547', 'HD031556', 'HD004850', 'HD019058', 'HD001510', 'HD031568', 'HD031574', 'HD031583', 'HD000915', 'HD006401', 'HD031586', 'HD031589', 'HD031589', 'HD031595', 'HD031601', 'HD031607', 'HD031613', 'HD031619', 'HD001507', 'HD006398', 'HD031628', 'HD031631', 'HD031640', 'HD031643', 'HD000777', 'HD013599', 'HD031649', 'HD031655', 'HD031658', 'HD031661', 'HD031661', 'HD031664', 'HD031667', 'HD031673', 'HD031676', 'HD031679', 'HD031697', 'HD031718', 'HD031763', 'HD031775', 'HD044590', 'HD008732', 'HD008735', 'HD032201', 'HD032204', 'HD032207', 'HD032210', 'HD008738', 'HD032231', 'HD008741', 'HD008714', 'HD008717', 'HD031460', 'HD000252', 'HD000255', 'HD045715', 'HD047481', 'HD000804', 'HD032153', 'HD027782', 'HD029510', 'HD029513', 'HD029516', 'HD029519', 'HD029522', 'HD029549', 'HD029491', 'HD029506', 'HD029518', 'HD029557', 'HD030314', 'HD007533', 'HD030179', 'HD030179', 'HD054300', 'HD029968', 'HD029974', 'HD029977', 'HD029767', 'HD013587', 'HD002758', 'HD029782', 'HD024678', 'HD029788', 'HD027962', 'HD007494', 'HD029575', 'HD029578', 'HD029581', 'HD024926', 'HD028715', 'HD028850', 'HD032222', 'HD033612', 'HD048801']","['EDCS-72600015', 'EDCS-73900025', 'EDCS-76900064', 'EDCS-34300888', 'EDCS-61200042', 'EDCS-67100100', 'EDCS-72600023', 'EDCS-56500210', 'EDCS-64900628', 'EDCS-64900629', 'EDCS-64900631', 'EDCS-64900632', 'EDCS-76000003', 'EDCS-76000006', 'EDCS-76000007', 'EDCS-64600432', 'EDCS-75900216', 'EDCS-75900219', 'EDCS-67100101', 'EDCS-76700082', 'EDCS-72600049', 'EDCS-72600020', 'EDCS-64000108', 'EDCS-75900227', 'EDCS-75900228', 'EDCS-75900229', 'EDCS-72800100', 'EDCS-78200090', 'EDCS-74700520']","['HD006602', 'HD031526', 'HD030365', 'HD030401', 'HD030404', 'HD030407', 'HD004100', 'HD030416', 'HD029464', 'HD029470', 'HD029476', 'HD029492', 'HD030323', 'HD049393', 'HD029650', 'HD029806', 'HD027956', 'HD027959', 'HD029617', 'HD029629', 'HD012896', 'HD007246', 'HD017464', 'HD017473', 'HD010925', 'HD009232', 'HD029638', 'HD031397', 'HD000133', 'HD000264', 'HD029566', 'HD029680', 'HD030794', 'HD005062', 'HD000273', 'HD044575', 'HD028052', 'HD028085', 'HD028088', 'HD028091', 'HD028094', 'HD028106', 'HD028115', 'HD028127', 'HD028133', 'HD015489', 'HD011248', 'HD028145', 'HD028148', 'HD028151', 'HD028154', 'HD028154', 'HD051343', 'HD028175', 'HD028178', 'HD028181', 'HD028190', 'HD028202', 'HD028208', 'HD028211', 'HD028241', 'HD028247', 'HD006867', 'HD028250', 'HD028274', 'HD028283', 'HD011855', 'HD011855', 'HD028298', 'HD028301', 'HD028328', 'HD028370', 'HD016525', 'HD028376', 'HD016516', 'HD010002', 'HD028436', 'HD028442', 'HD009235', 'HD028457', 'HD028517', 'HD028541', 'HD028544', 'HD028547', 'HD028553', 'HD028571', 'HD028574', 'HD028586', 'HD028589', 'HD028598', 'HD028601', 'HD028607', 'HD028628', 'HD028646', 'HD028682', 'HD028691', 'HD028703', 'HD028718', 'HD028724', 'HD028739', 'HD028745', 'HD010983', 'HD028757', 'HD028766', 'HD028775', 'HD028778', 'HD028787', 'HD028790', 'HD028802', 'HD007524', 'HD028826', 'HD028829', 'HD028835', 'HD028841', 'HD028844', 'HD004862', 'HD028865', 'HD028883', 'HD028907', 'HD028910', 'HD028922', 'HD028925', 'HD028931', 'HD028946', 'HD028958', 'HD028985', 'HD029003', 'HD029039', 'HD029066', 'HD029099', 'HD029144', 'HD029177', 'HD029441', 'HD029456', 'HD029465', 'HD029480', 'HD044595', 'HD051975', 'HD008723', 'HD032174', 'HD031880', 'HD002841', 'HD031889', 'HD031892', 'HD031913', 'HD031819', 'HD031922', 'HD031925', 'HD031928', 'HD031931', 'HD031934', 'HD031937', 'HD031946', 'HD031949', 'HD031961', 'HD031994', 'HD032003', 'HD032009', 'HD032012', 'HD032018', 'HD032024', 'HD032027', 'HD001459', 'HD032042', 'HD032051', 'HD032060', 'HD032063', 'HD032075', 'HD032078', 'HD032090', 'HD002943', 'HD032096', 'HD032120', 'HD017184', 'HD054296', 'HD054297', 'HD032183', 'HD030881', 'HD031274', 'HD031277', 'HD031280', 'HD031283', 'HD031286', 'HD031289', 'HD031292', 'HD031295', 'HD031298', 'HD031301', 'HD031307', 'HD023442', 'HD029812', 'HD029824', 'HD029848', 'HD029854', 'HD031331', 'HD031337', 'HD031349', 'HD031355', 'HD031370', 'HD031391', 'HD031409', 'HD031412', 'HD031415', 'HD031421', 'HD031424', 'HD031436', 'HD031472', 'HD031484', 'HD030392', 'HD032180', 'HD030869', 'HD030173', 'HD030308', 'HD017187', 'HD031487', 'HD031493', 'HD031496', 'HD031499', 'HD031502', 'HD031505', 'HD031448', 'HD031463', 'HD029554', 'HD030107', 'HD007539', 'HD007542', 'HD030134', 'HD013584', 'HD030194', 'HD030224', 'HD030239', 'HD030290', 'HD030293', 'HD030302', 'HD030332', 'HD030344', 'HD030320', 'HD030419', 'HD030422', 'HD026124', 'HD007899', 'HD031550', 'HD031553', 'HD031556', 'HD031571', 'HD031601', 'HD031604', 'HD031616', 'HD031622', 'HD031625', 'HD031634', 'HD031640', 'HD031676', 'HD031697', 'HD031748', 'HD031763', 'HD031775', 'HD008732', 'HD008735', 'HD032204', 'HD032210', 'HD004188', 'HD008741', 'HD008714', 'HD045715', 'HD045835', 'HD045836', 'HD029510', 'HD029516', 'HD029519', 'HD029506', 'HD007533', 'HD007530', 'HD029980', 'HD029980', 'HD029767', 'HD013587', 'HD049396', 'HD028157', 'HD032222']","['EDCS-05600095', 'EDCS-05600096', 'EDCS-21700295', 'EDCS-05600098', 'EDCS-05600099', 'EDCS-77400002', 'EDCS-76900064', 'EDCS-19100803', 'EDCS-34300892', 'EDCS-34300893', 'EDCS-34300894', 'EDCS-67100100', 'EDCS-22200157', 'EDCS-72600023', 'EDCS-67400288', 'EDCS-67400289', 'EDCS-21300312', 'EDCS-56500210', 'EDCS-64900628', 'EDCS-64900632', 'EDCS-64600432', 'EDCS-67100101', 'EDCS-76700082', 'EDCS-05600067', 'EDCS-21300315', 'EDCS-21300319', 'EDCS-20400523', 'EDCS-21700305', 'EDCS-64000108']"
