,Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Select Bibliography,Area,Estimate Basis,Civic Status,Structure,num_of_structures,geometry,ID,level_0,Unnamed: 0_y,index,pop_sample,pop_est,pop_diff
0,Hanson2016_1,Abae,Kalapodi,Achaea,Greece,4 or 5,55 D3,-600,,BNP; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,16.0,Walls,['Rights and privileges'],"['Acropolis', 'Agora', 'Temple of Apollo', 'Theatre', 'Walls']",5,POINT (22.933333 38.583333),1,,,,,1700.0,
1,Hanson2016_2,Acharnae,Acharnes,Achaea,Greece,3,59 B2,-600,,BNP; DGRG; PECS; Sear 2006.,,,,"['Sanctuary of Apollo Argyieus', 'Sanctuary of Hercules', 'Theatre']",3,POINT (23.734088 38.083473),2,,,,,1000.0,
2,Hanson2016_3,Acraephia,Akraifnio,Achaea,Greece,3,55 E4,-600,,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.,,,,"['Acropolis', 'Agora', 'Fountain', 'Temple of Apollo Ptous', 'Temple of Dionysus', 'Theatre', 'Walls']",7,POINT (23.219702 38.452606),3,,,,,1000.0,
3,Hanson2016_4,Aegina,Aigina,Achaea,Greece,2,59 A3,-600,,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,52.0,Inhabited area,['Rights and privileges'],"['Shrine of Aeacus', 'Stadium', 'Temple of Aphrodite', 'Temple of Apollo', 'Temple of Apollo Thearius', 'Theatre', 'Walls', 'Walls']",8,POINT (23.4285 37.750074),4,,,,,8209.0,
4,Hanson2016_5,Aegira,Aigeira,Achaea,Greece,3,58 C1,-600,,DGRG; Hansen and Nielsen 2004.,,,,"['Acropolis', 'Agora', 'Gymnasium', 'Temple of Aphrodite Urania', 'Temple of Apollo', 'Temple of Artemis', 'Temple of Zeus', 'Theatre']",8,POINT (22.35572 38.147951),5,,,,,1000.0,
5,Hanson2016_6,Aegium,Aigio,Achaea,Greece,3,58 C1,-600,,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.,,,,"['Acropolis', 'Gymnasium', 'Sanctuary of Zeus Homagyrius or Homarius', 'Temple of Demeter Panchaea', 'Theatre', 'Walls']",6,POINT (22.081952 38.252707),6,,,,,1000.0,
6,Hanson2016_7,Ambracia,Arta,Achaea,Greece,3,54 C3,-635,-30.0,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,130.0,Walls,,"['Acropolis', 'Agora?', 'Bridge', 'Temple', 'Temple', 'Theatre', 'Urban grid', 'Walls']",8,POINT (20.987 39.158),7,,,,,27923.0,
7,Hanson2016_8,Amphissa,Amfissa,Achaea,Greece,3,55 C3,-400,,BNP; Hansen and Nielsen 2004; PECS.,,,['Rights and privileges'],"['Acropolis', 'Agora?', 'Temple of Athena', 'Walls']",4,POINT (22.378406 38.527328),8,,,,,1000.0,
8,Hanson2016_9,Anthedon,Anthedon,Achaea,Greece,3,55 E4,-400,,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.,30.0,Walls,,"['Acropolis', 'Agora', 'Gymnasium', 'Harbour', 'Stoa', 'Temple of Demeter and Kore', 'Temple of Dionysus', 'Temple of the Cabeiri', 'Walls']",9,POINT (23.461481 38.497543),9,,,,,3937.0,
9,Hanson2016_10,Anticyra,Palatia,Achaea,Greece,3,55 D4,-400,,BNP; DGRG; Hansen and Nielsen 2004; PECS.,,,,"['Acropolis', 'Gymnasium', 'Sanctuary of Poseidon', 'Walls']",4,POINT (22.632895 38.377588),10,,,,,1000.0,
10,Hanson2016_11,Antigonia,Gjirokaster,Achaea,Albania,4 or 5,49 C3,-300,,BNP; Cohen 1995; DGRG; PECS.,45.0,Inhabited area,,"['Agora', 'Urban grid', 'Walls']",3,POINT (20.221111 40.10527800000001),11,,,,,6767.0,
11,Hanson2016_12,Argos (Achaea) (1),Loutron,Achaea,Greece,4 or 5,54 D4,-600,,PECS; Sear 2006.,,,,"['Theatre', 'Walls']",2,POINT (21.25 38.75),12,,,,,1000.0,
12,Hanson2016_13,Argos (Achaea) (2),Argos,Achaea,Greece,2,58 D2,-900,,BNP; Boatwright 2000; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006; Wilson 2011.,199.0,Walls,,"['Acropolis (Aspis)', 'Acropolis (Larissa)', 'Agora', 'Aqueduct', 'Baths', 'Bouleuterion', 'Ekklesiasterion', 'Gymnasium', 'Nymphaeum', 'Odeum', 'Palaestra', 'Prytaneum', 'Stadium', 'Stoa', 'Stoa', 'Temple of Aphrodite', 'Temple of Apollo Lyceius', 'Temple of Apollo Pythias', 'Temple of Aspis', 'Temple of Athena Oxyderkes', 'Temple of Demeter', 'Temple of Hera', 'Temple of Hera', 'Temple of Zeus Larissaeus', 'Theatre', 'Theatre (Rectilinear)', 'Walls', 'Walls']",28,POINT (22.719769 37.631278),13,,,,,49319.0,
13,Hanson2016_14,Athenae,Athens,Achaea,Greece,1,59 B3,-900,,Beloch 1886; BNP; Boatwright 2000; DGRG; Hansen 2006; Hansen and Nielsen 2004; McEvedy 2011; PECS; Russell 1958; Sear 2006.,225.0,Walls of Themistocles and Valerian,['Rights and privileges'],"['Academy', 'Acropolis', 'Agora (Archaic)', 'Agora (Classical)', 'Agora (Roman)', 'Aqueduct', 'Basilica', 'Bouleuterion', 'Bridge', 'Cult of Asklepius', 'Cult of Pan', 'Dikasterion', 'Dromos', 'Ekklesiasterion', 'Fountain', 'Fountain (Circular)', 'Fountain (Klepsydra)', 'Fountain (South-East)', 'Fountain (South-West)', 'Gymnasium', 'Gymnasium of Ptolemy', 'Gymnasium of the Academy', 'Gymnasium of the Giants', 'Gymnasium of the Lykeon', 'Hippodrome', 'Library of Hadrian', 'Library of Pantainos', 'Lyceum', 'Metroon', 'Metroon in the Fields', 'Nymphaeum', 'Odeum of Agrippa', 'Odeum of Herodes Atticus', 'Odeum of Perikles', 'Orchestra', 'Pnyx', 'Propylon', 'Prytaneum', 'Sanctuary of Dionysus in the Marshes', 'Sanctuary of Zeus Eleutheros', 'Sanctuary the daughters of Leos', 'Shrine (Triangular)', 'Shrine of Aphrodite and Eros', 'Shrine of Apollo Hypoakraios', 'Shrine of Dionysus Eleutherus', 'Shrine of Hercules Alexikakos', 'Shrine of Hercules Pankrates', 'Shrine of Kodros, Neleus, and Basile', 'Shrine of the Nymphs', 'Shrine of Zeus Hypsistos', 'Stadium of Herodes Atticus', 'Stadium of Lykourgos', 'Stoa (Middle)', 'Stoa (North-East)', 'Stoa (Poikile)', 'Stoa (Royal)', 'Stoa (South I)', 'Stoa (South II)', 'Stoa (South-West)', 'Stoa of Attalos', 'Stoa of Eumenes II', 'Stoa of the Herms', 'Stoa of Zeus Eleutheros', 'Temple', 'Temple (Palladion)', 'Temple (Poros)', 'Temple (Tholos)', 'Temple of All the Gods (Pantheon)', 'Temple of Amynos', 'Temple of Antiochos Epiphanes', 'Temple of Aphrodite Ourania', 'Temple of Apollo Delpinios', 'Temple of Apollo Patroos', 'Temple of Ares', 'Temple of Artemis Agrotera', 'Temple of Artemis Ariste and Kalliste', 'Temple of Artemis Aristoboule', 'Temple of Artemis Brauronia', 'Temple of Athena (Hekatompedon)', 'Temple of Athena (Old Temple of Athena)', 'Temple of Athena Polias (Parthenon)', 'Temple of Bacchus', 'Temple of Demeter (Eleusinon)', 'Temple of Erectheus (Erectheum)', 'Temple of Hadrian', 'Temple of Hephaestus', 'Temple of Hera and Zeus (Panhellenion)', 'Temple of Kronos and Rhea', 'Temple of Pythias (Pythion)', 'Temple of Rome and Augustus', 'Temple of the Mother of the Gods', 'Temple of Theseus', 'Temple of Tritopatres', 'Temple of Zeus', 'Temple of Zeus Phratrios and Athena Phratria', 'Theatre (Lenaean)', 'Theatre of Dionysus', 'Unidentified public building', 'Unidentified public building', 'Unidentified public building (Chalkotheke)', 'Urban grid', 'Walls', 'Walls (Late Roman)', 'Walls (Peisistratan)', 'Walls (Pelargikon / Pelasgian)', 'Walls (Themistoclean)', 'Walls (Valerian)']",107,POINT (23.726559 37.971119),14,0.0,0.0,0.0,58114.0,58112.0,1.0000344162995596
14,Hanson2016_15,Atrax,Palaiokastro,Achaea,Greece,3,55 C1,-500,,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.,64.0,Walls,,"['Acropolis', 'Temple of Poseidon?', 'Theatre', 'Walls']",4,POINT (22.199557 39.57125300000001),15,,,,,10834.0,
15,Hanson2016_16,Buthrotum,Butrinto,Achaea,Albania,4 or 5,54 B2,-700,,BNP; Brunt 1971; Cornell and Mathews 1982; DGRG; Hansen and Nielsen 2004; MacMullen 2000; PECS; Salmon 1969; Sear 2006.,13.0,Walls,"['Colonia', 'Colonia', 'Rights and privileges', 'Rights and privileges']","['Acropolis', 'Agora', 'Aqueduct', 'Baths (Theatre)', 'Bridge', 'Fountain of Junia Rufina', 'Gymnasium', 'Harbour', 'Nymphaeum', 'Nymphaeum', 'Prytaneum', 'Sanctuary', 'Shrine of Asclepius', 'Stoa', 'Temple', 'Theatre', 'Walls', 'Walls']",18,POINT (20.020617 39.745701),16,,,,,1288.0,
16,Hanson2016_17,Calydon,Kalydon,Achaea,Greece,3,55 B4,-600,-30.0,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.,25.0,Walls,,"['Acropolis', 'Agora?', 'Bouleuterion', 'Sanctuary of Artemis Laphria', 'Stoa', 'Temple', 'Temple of Dionysus', 'Urban grid', 'Walls']",9,POINT (21.532778 38.378056),17,,,,,3086.0,
17,Hanson2016_18,Carthaea,Unknown,Achaea,Greece,4 or 5,58 G2,-400,,Hansen and Nielsen 2004; PECS; Sear 2006.,,,,"['Prytaneum', 'Temple of Apollo', 'Temple of Athena', 'Theatre', 'Walls']",5,POINT (24.314228 37.542346),18,,,,,1000.0,
18,Hanson2016_19,Cassope,Kamarina,Achaea,Greece,4 or 5,54 C3,-350,-30.0,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,18.0,Urban grid,,"['Agora', 'Ekklesiasterion', 'Odeum', 'Prytaneum', 'Stoa', 'Temple of Aphrodite', 'Theatre', 'Urban grid', 'Walls']",9,POINT (20.675916 39.145016),19,1.0,1.0,1.0,1989.0,1989.0,1.0
19,Hanson2016_20,Chaeronea,Khaironia,Achaea,Greece,3,55 D4,-600,,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,23.0,Walls,,"['Acropolis', 'Theatre', 'Walls']",3,POINT (22.844532 38.494687),20,,,,,2760.0,
20,Hanson2016_21,Chalcis,Chalkis,Achaea,Greece,2,55 F4,-800,,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; Jones 1937; PECS.,20.0,Walls,,"['Agora', 'Aqueduct', 'Bridge', 'Gymnasium', 'Sanctuary', 'Sanctuary of Apollo Delphinios', 'Stoa', 'Temple of Zeus Olympius', 'Theatre', 'Walls']",10,POINT (23.643172 38.549423),21,,,,,2290.0,
21,Hanson2016_22,Cierium,Mataránga,Achaea,Greece,3,55 C2,-600,,BNP; DGRG; Hansen and Nielsen 2004; Sear 2006.,,,,"['Acropolis', 'Temple of Athena Itonia', 'Theatre', 'Walls']",4,POINT (22.075455 39.361088),22,,,,,1000.0,
22,Hanson2016_23,Cirrha,Xeropigadi,Achaea,Greece,4 or 5,55 C4,-600,,Hansen and Nielsen 2004; PECS.,,,,"['Acropolis', 'Baths', 'Hippodrome', 'Sanctuary', 'Sanctuary of Apollo, Artemis, and Leto', 'Walls']",6,POINT (22.450621 38.428937),23,,,,,1000.0,
23,Hanson2016_24,Cleitor,Kato Klitoria,Achaea,Greece,3,58 C2,-600,,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.,58.0,Walls,,"['Acropolis', 'Temple of Asclepius', 'Temple of Athena Koria', 'Temple of Demeter', 'Temple of Eileithya', 'Temple of the Dioscuri', 'Theatre', 'Walls']",8,POINT (22.044647 37.885611),24,,,,,9498.0,
24,Hanson2016_25,Corcyra,Analipsi,Achaea,Greece,3,54 A2,-734,,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.,,,['Rights and privileges'],"['Acropolis', 'Agora', 'Baths', 'Bouleuterion', 'Temple of Alcinous', 'Temple of Apollo Korkyraios', 'Temple of Artemis', 'Temple of Corcyra', 'Temple of Dionysus', 'Temple of Hera Acraea', 'Temple of Poseidon', 'Temple of the Dioscuri', 'Temple of Zeus', 'Theatre', 'Walls', 'Walls']",16,POINT (19.91558 39.606285),25,,,,,1000.0,
25,Hanson2016_26,Corinthia,Corinth,Achaea,Greece,1,58 D2,-44,,BNP; Boatwright 2000; Brunt 1971; Cornell and Mathews 1982; Golvin 1988; Hansen 2006; Hansen and Nielsen 2004; MacMullen 2000; McEvedy 2011; Nelis-Clément and Roddaz 2008; PECS; Quinn and Wilson 2013; Russell 1958; Salmon 1969; Sear 2006; Wilson 2011.,241.0,Urban grid,"['Colonia', 'Colonia', 'Colonia?', 'Provincial capital', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges']","['Acropolis', 'Acropolis', 'Agora', 'Amphitheatre', 'Aqueduct', 'Arch', 'Basilica', 'Basilica', 'Basilica (South)', 'Basilica?', 'Baths', 'Baths', 'Baths', 'Baths', 'Baths', 'Baths', 'Baths of Eurykles', 'Baths of Hadrian?', 'Bouleuterion', 'Colonnaded streets', 'Comitium', 'Forum', 'Fountain of Glauke', 'Fountain of Peirene', 'Gymnasium', 'Gymnasium', 'Hippodrome', 'Macellum', 'Macellum (North)', 'Odeum', 'Sanctuary of Demeter and Kore', 'Sanctuary of Zeus', 'Stadium', 'Stoa', 'Stoa', 'Stoa (South)', 'Tabularium?', 'Temple', 'Temple', ""Temple ('capitolium')"", 'Temple of All the Gods (Pantheon)?', 'Temple of Aphrodite', 'Temple of Apollo Pythias', 'Temple of Asclepius', 'Temple of Athena Hellotis?', 'Temple of Gn. Babbius Philinus', 'Temple of Hera Akraia', 'Temple of Hercules?', 'Temple of the imperial cult', 'Temple of Venus / Fortuna?', 'Theatre', ""Unidentified public building ('Baths of Aphrodite')"", 'Urban grid', 'Walls (Greek)', 'Walls (Hellenistic)', 'Walls (Late Roman)']",56,POINT (22.879795 37.90632100000001),26,2.0,2.0,2.0,63700.0,63698.0,1.000031398160068
26,Hanson2016_27,Coronea,Agios Georgios,Achaea,Greece,3,55 D4,-600,,BNP; Boatwright 2000; Hansen 2006; Hansen and Nielsen 2004.,94.0,Walls,,"['Acropolis', 'Aqueduct', 'Temple of Athena Itonia', 'Theatre', 'Walls']",5,POINT (22.957112 38.391204),27,,,,,18106.0,
27,Hanson2016_28,Delos,Delos,Achaea,Greece,4 or 5,61 A3,-700,,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.,95.0,Inhabited area,['Rights and privileges'],"['Acropolis', 'Agora', 'Agora (of the Italians)', 'Baths', 'Bouleuterion', 'Ekklesiasterion', 'Gymnasium', 'Harbour', 'Hippodrome', 'Market', 'Palaestra', 'Palaestra', 'Prytaneum', 'Sanctuary of Agathe Tyche', 'Sanctuary of Anios', 'Sanctuary of Atargatis and Hadad', 'Sanctuary of Dionysus', 'Sanctuary of Kynthos', 'Sanctuary of Zeus and Athena Kynthia', 'Stadium', 'Stoa', 'Stoa of the Naxians', 'Temple of Apollo', 'Temple of Apollo', 'Temple of Apollo (Athenian Temple; Temple of the Seven Statues)', 'Temple of Artemis', 'Temple of Artemis', 'Temple of Dionysus', 'Temple of Hera', 'Temple of Isis', 'Temple of Jupiter Olympius', 'Temple of Leto', 'Temple of Leto', 'Temple of Serapis (A)', 'Temple of Serapis (B)', 'Temple of Serapis (C)', 'Temple of the Dioscuri', 'Temple of the Dioscuri', 'Theatre', 'Theatre-sanctuary (Sanctuary of the Dea Syria)', 'Urban grid']",41,POINT (25.267249 37.398611),28,,,,,18364.0,
28,Hanson2016_29,Delphi,Delphi,Achaea,Greece,2,55 D4,-800,,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,30.0,Inhabited area,['Rights and privileges'],"['Bouleuterion', 'Dikasterion', 'Gymnasium', 'Hippodrome', 'Prytaneum', 'Sanctuary of Apollo', 'Sanctuary of Athena', 'Stadium', 'Stoa', 'Stoa', 'Temple (Tholos)', 'Theatre']",12,POINT (22.5 38.483333),29,,,,,3937.0,
29,Hanson2016_30,Demetrias,Volos,Achaea,Greece,2,55 D2,-290,,BNP; Cohen 1995; DGRG; McEvedy 2011; PECS; Sear 2006.,153.0,Inhabited area,,"['Acropolis', 'Agora', 'Aqueduct', 'Harbour', 'Hippodrome', 'Stadium', 'Stoa', 'Temple', 'Temple of Artemis Lolkia', 'Theatre', 'Urban grid', 'Walls', 'Walls']",13,POINT (22.922339 39.343875),30,,,,,34713.0,
30,Hanson2016_31,Dodona,Dodona,Achaea,Greece,4 or 5,54 C2,-400,,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.,,,,"['Acropolis', 'Bouleuterion', 'Prytaneum', 'Sanctuary of Zeus', 'Stadium', 'Temple of Aphrodite', 'Temple of Dione', 'Temple of Hercules', 'Temple of Themis', 'Theatre', 'Walls']",11,POINT (20.787767 39.546432),31,,,,,1000.0,
31,Hanson2016_32,Dyme,Kato Achaia,Achaea,Greece,3,58 B1,-600,1.0,BNP; Brunt 1971; Cornell and Mathews 1982; Hansen and Nielsen 2004; MacMullen 2000; Salmon 1969.,,,"['Colonia', 'Colonia', 'Rights and privileges', 'Rights and privileges']","['Temple', 'Temple', 'Walls']",3,POINT (21.551426 38.144625),32,,,,,1000.0,
32,Hanson2016_33,Elateia,Lefta,Achaea,Greece,2,55 D3,-600,,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,13.0,Walls,['Rights and privileges'],"['Agora', 'Temple of Asclepius', 'Temple of Athena Cranaea', 'Theatre', 'Walls']",5,POINT (22.764982 38.62635),33,,,,,1288.0,
33,Hanson2016_34,Eleusis,Elefsina,Achaea,Greece,3,59 B2,-800,,BNP; DGRG; Hansen and Nielsen 2004; McEvedy 2011; PECS; Sear 2006.,6.0,Walls (Late 4th c B.C.),,"['Acropolis', 'Arch', 'Arch', 'Bouleuterion', 'Nymphaeum', 'Sanctuary of Demeter', 'Stadium', 'Temple of Artemis of the Portals and Father Poseidon', 'Temple of Faustina?', 'Temple of Pluto', 'Temple of Sabina?', 'Theatre (Athenian)', 'Theatre (Eleusinian)', 'Theatre (Rectilinear)', 'Walls', 'Walls', 'Walls', 'Walls']",18,POINT (23.542112 38.04325),34,,,,,458.0,
34,Hanson2016_35,Elis,Ilida,Achaea,Greece,2,58 A2,-800,,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.,,,['Rights and privileges'],"['Acropolis', 'Agora', 'Baths', 'Bouleuterion', 'Gymnasium', 'Gymnasium', 'Gymnasium', 'Palaestra', 'Prytaneum', 'Sanctuary of Aphrodite Pandemos', 'Sanctuary of Artemis Philomeirax', 'Stoa (Korkyraion)', 'Stoa of the Hellanodikai', 'Temple of Aphrodite', 'Temple of Athena', 'Temple of Hades', 'Temple of Silenos', 'Temple of Tyche and Sosipolis', 'Theatre', 'Walls', 'Walls']",21,POINT (21.435443 37.827452),35,,,,,1000.0,
35,Hanson2016_36,Epidaurus,Palaia Epidauros,Achaea,Greece,4 or 5,58 E2,-700,,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.,,,['Rights and privileges'],"['Acropolis', 'Odeum', 'Sanctuary of Apollo Maleatas', 'Sanctuary of Asclepius', 'Temple of Aphrodite?', 'Temple of Artemis', 'Temple of Asclepius', 'Temple of Athena Cissaea', 'Temple of Dionysus', 'Temple of Hera', 'Theatre', 'Theatre', 'Walls']",13,POINT (23.132244 37.626573),36,,,,,1000.0,
36,Hanson2016_37,Eretria,Eretria,Achaea,Greece,2,55 F4,-825,,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,87.0,Walls,,"['Acropolis', 'Agora', 'Baths', 'Gymnasium', 'Gymnasium', 'Harbour', 'Nymphaeum', 'Palaestra', 'Shrine of Apollo Daphnephoros', 'Shrine of Dionysus', 'Shrine of Isis', 'Temple (Tholos)', 'Theatre', 'Walls', 'Walls']",15,POINT (23.793099 38.393743),37,,,,,16327.0,
37,Hanson2016_38,Euonymon,Unknown,Achaea,Greece,3,59 B3,-600,,BNP.,,,,['Theatre'],1,POINT (23.737382 37.916867),38,,,,,1000.0,
38,Hanson2016_39,Gonnus,Gonnoussa,Achaea,Greece,3,55 C1,-600,,BNP; Hansen 2006; Hansen and Nielsen 2004; PECS.,6.0,Walls,,"['Acropolis', 'Agora', 'Temple', 'Temple of Asclepius?', 'Temple of Athena Polias?', 'Unidentified public building', 'Unidentified public building', 'Walls', 'Walls']",9,POINT (22.476241 39.860939),39,,,,,458.0,
39,Hanson2016_40,Gythium,Gytheio,Achaea,Greece,3,58 D4,-600,,Hansen and Nielsen 2004; Sear 2006.,,,,"['Aqueduct', 'Theatre', 'Walls']",3,POINT (22.562341 36.763663),40,,,,,1000.0,
40,Hanson2016_41,Hadrianopolis (Achaea),Jergucati,Achaea,Albania,4 or 5,54 B2,117,,DGRG; Sear 2006.,18.0,Urban grid,,"['Forum', 'Theatre', 'Urban grid']",3,POINT (20.22466 39.996236),41,,,,,1989.0,
41,Hanson2016_42,Halae,Unknown,Achaea,Greece,4 or 5,55 E3,-600,,Hansen 2006; PECS; Sear 2006.,13.0,"Walls, 12 to 13 ha.",,"['Acropolis', 'Temple', 'Temple of Artemis Tauropolos', 'Temple of Dionysus', 'Theatre']",5,POINT (23.193751 38.653765),42,,,,,1288.0,
42,Hanson2016_43,Halus,Othrys,Achaea,Greece,3,55 D2,-323,,BNP; Hansen and Nielsen 2004; PECS.,79.0,Walls,,"['Acropolis', 'Agora', 'Prytaneum', 'Temple', 'Urban grid', 'Walls']",6,POINT (22.821215 39.142418),43,,,,,14353.0,
43,Hanson2016_44,Hephaestia,Unknown,Achaea,Greece,4 or 5,56 A2,-600,,Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,32.0,Walls,,"['Theatre', 'Walls']",2,POINT (25.324204 39.95907),44,,,,,4291.0,
44,Hanson2016_45,Heraclea (Achaea),Unknown,Achaea,Greece,3,55 C3,-600,,BNP; Hansen and Nielsen 2004; PECS.,,,,"['Acropolis', 'Aqueduct', 'Gymnasium', 'Temple of Artemis', 'Walls']",5,POINT (22.447577 38.792037),45,,,,,1000.0,
45,Hanson2016_46,Hyampolis,Bogdanou,Achaea,Greece,4 or 5,55 D3,-600,,BNP; Boatwright 2000; DGRG; Hansen 2006; Hansen and Nielsen 2004.,6.0,Walls,,"['Acropolis', 'Bouleuterion', 'Stoa', 'Temple of Artemis Elaphebolos', 'Theatre', 'Walls']",6,POINT (22.918763 38.594681),46,,,,,458.0,
46,Hanson2016_47,Ioulis,Unknown,Achaea,Greece,4 or 5,58 G2,-101,,Hansen and Nielsen 2004; PECS; Sear 2006.,,,,"['Acropolis', 'Prytaneum', 'Theatre', 'Walls']",4,POINT (24.34625 37.633122),47,,,,,1000.0,
47,Hanson2016_48,Larisa (Achaea),Unknown,Achaea,Greece,2,55 C1,-600,,DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.,,,,"['Acropolis', 'Agora', 'Bouleuterion', 'Odeum', 'Temple of Apollo Kerdoios?', 'Temple?', 'Theatre (Large)', 'Theatre (Small)', 'Walls', 'Walls']",10,POINT (22.415092 39.640328),48,,,,,1000.0,
48,Hanson2016_49,Lebadea,Livadhia,Achaea,Greece,3,55 D4,-600,,BNP; DGRG; Hansen and Nielsen 2004; PECS.,,,,"['Acropolis', 'Agora?', 'Stoa', 'Temple', 'Temple of Zeus Basileus', 'Walls']",6,POINT (22.866667 38.43333300000001),49,,,,,1000.0,
49,Hanson2016_50,Leucas,Neritus,Achaea,Greece,3,54 C4,-700,,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.,,,,"['Acropolis', 'Agora?', 'Bridge', 'Temple', 'Theatre', 'Urban grid', 'Walls']",7,POINT (20.713116 38.807342),50,,,,,1000.0,
50,Hanson2016_51,Lilaea,Unknown,Achaea,Greece,3,55 D3,-600,,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.,,,,"['Acropolis', 'Baths', 'Temple', 'Temple', 'Theatre', 'Walls']",6,POINT (22.509538 38.630415),51,,,,,1000.0,
51,Hanson2016_52,Lousoi,Lousoi,Achaea,Greece,4 or 5,58 C2,-600,150.0,BNP; Hansen and Nielsen 2004; PECS.,,,,"['Acropolis', 'Bouleuterion', 'Fountain', 'Sanctuary of Artemis Hemera']",4,POINT (22.116811 37.969025),52,,,,,1000.0,
52,Hanson2016_53,Lycosura,Lykosoura,Achaea,Greece,3,58 C3,-600,,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.,,,,"['Acropolis', 'Baths', 'Fountain', 'Sanctuary of Despoina', 'Stoa', 'Temple of Artemis Hegemone', 'Theatre', 'Walls']",8,POINT (22.031019 37.389722),53,,,,,1000.0,
53,Hanson2016_54,Macynia,Paleokastro,Achaea,Greece,4 or 5,55 B4,-600,,BNP; DGRG; Hansen and Nielsen 2004; Sear 2006.,,,,"['Theatre', 'Walls']",2,POINT (21.726328 38.355158),54,,,,,1000.0,
54,Hanson2016_55,Mantinea,Mantineia,Achaea,Greece,2,58 C2,-500,,BNP; Boatwright 2000; Cohen 1995; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,121.0,Walls,,"['Agora', 'Bouleuterion', 'Stoa', 'Stoa', 'Temple of Antinous', 'Temple of Hadrian?', 'Temple of Poseidon', 'Temple to commemorate defeat of Antony by Octavian', 'Theatre', 'Urban grid', 'Walls']",11,POINT (22.405305 37.642803),55,,,,,25371.0,
55,Hanson2016_56,Megalopolis,Sinánu,Achaea,Greece,2,58 C3,-370,150.0,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,100.0,Inhabited area,,"['Agora', 'Bouleuterion', 'Bridge', 'Gymnasium?', 'Sanctuary of Aphrodite', 'Stadium', 'Stoa of Aristander', 'Stoa of Myropolis', 'Stoa of Philip', 'Stoa of the Archives', 'Temple of Apollo, Hermes, and the Muses', 'Temple of Athena Polias', 'Temple of Dionysus', 'Temple of Hera Teleia', 'Temple of Hermes Acacesius', 'Temple of the Mother of the Gods', 'Temple of Zeus Soter', 'Theatre', 'Urban grid', 'Walls', 'Walls']",21,POINT (22.136771 37.40225),56,,,,,19666.0,
56,Hanson2016_57,Megara,Megara,Achaea,Greece,2,58 E2,-900,,Beloch 1886; BNP; Boatwright 2000; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,140.0,Walls,['Colonia'],"['Acropolis (Alcathous)', 'Acropolis (Caria)', 'Agora', 'Aqueduct', 'Bouleuterion', 'Fountain', 'Gymnasium', 'Stoa', 'Temple of Aphrodite', 'Temple of Aphrodite Apostrophia', 'Temple of Apollo', 'Temple of Apollo', 'Temple of Apollo Agraeus', 'Temple of Apollo Prostaterius', 'Temple of Artemis', 'Temple of Artemis Agrotera', 'Temple of Artemis Soteira', 'Temple of Athena Aeantis', 'Temple of Athena Nike', 'Temple of Demeter', 'Temple of Demeter Malophorus', 'Temple of Demeter Thesmophorus', 'Temple of Dionysus', 'Temple of Dionysus Nyctelius', 'Temple of Fortune', 'Temple of Isis', 'Temple of the Eileithyiae', 'Temple of the Muses', 'Temple of Zeus Chronios', 'Temple of Zeus Olympius', 'Theatre', 'Walls']",32,POINT (23.344591 37.994845),57,,,,,30829.0,
