,Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Select Bibliography,Area,Estimate Basis,Civic Status,Structure,num_of_structures,geometry,ID,level_0,Unnamed: 0_y,index,pop_sample,pop_est,pop_diff
353,Hanson2016_354,Nertobriga,Unknown,Baetica,Spain,3,26 D3,-50,,BNP; MacMullen 2000.,,,['Municipium'],,0,POINT (-6.651443 38.164818),354,,,,,1000.0,
354,Hanson2016_355,Obulco,Procuna,Baetica,Spain,3,27 A4,-50,,Brunt 1971; DGRG; Keay 1998; MacMullen 2000.,,,['Municipium'],,0,POINT (-4.184754 37.870867),355,,,,,1000.0,
355,Hanson2016_356,Orippo,Torre de los Herberos,Baetica,Spain,4 or 5,26 E4,-50,,DGRG; Keay 1998.,9.0,Inhabited area,"['Municipium', 'Rights and privileges']",,0,POINT (-5.922275 37.283163),356,,,,,788.0,
356,Hanson2016_357,Osset,S. Juan de Aznalfarache,Baetica,Spain,3,26 D4,-50,,MacMullen 2000; Sear 2006.,,,['Municipium'],['Theatre'],1,POINT (-6.035436 37.358375),357,,,,,1000.0,
357,Hanson2016_358,Regina,Reina,Baetica,Spain,3,26 E3,-50,,Brunt 1971; Cornell and Mathews 1982; PECS; Sear 2006.,,,"['Municipium', 'Rights and privileges']",['Theatre'],1,POINT (-5.949533 38.187457),358,,,,,1000.0,
358,Hanson2016_359,Sacili,Alcorrucen,Baetica,Spain,3,27 A4,-50,,DGRG; MacMullen 2000.,,,['Municipium'],,0,POINT (-4.507161 38.005797),359,,,,,1000.0,
359,Hanson2016_360,Salpensa,Cortijo de la Coria,Baetica,Spain,3,26 E4,-50,,BNP; ; Woloch 1983.,,,['Municipium'],,0,POINT (-5.781537 37.181513),360,,,,,1000.0,
360,Hanson2016_361,Segida,Unknown,Baetica,Spain,3,26 D3,-50,,DGRG; Keay 1998; MacMullen 2000.,,,"['Municipium', 'Rights and privileges']",,0,POINT (-6.589301 38.378494),361,,,,,1000.0,
361,Hanson2016_362,Seria,Jerez de los Caballeros,Baetica,Spain,3,26 D3,-49,,MacMullen 2000.,,,['Colonia?'],,0,POINT (-6.771094000000002 38.319329),362,,,,,1000.0,
362,Hanson2016_363,Sexi,Almuñécar,Baetica,Spain,3,27 B5,-200,,BNP; MacMullen 2000.,,,['Colonia?'],['Aqueduct'],1,POINT (-3.690736 36.73454),363,,,,,1000.0,
363,Hanson2016_364,Siarum,Torre del Aguila,Baetica,Spain,3,26 E4,-50,,Keay 1998; MacMullen 2000.,10.0,Inhabited area,['Municipium'],,0,POINT (-5.751603 37.052397),364,,,,,907.0,
364,Hanson2016_365,Singilia Barba,Cortijo del Castillón,Baetica,Spain,4 or 5,26 F4,-50,,Keay 1998; Nelis-Clément and Roddaz 2008; Sear 2006.,38.0,Inhabited area,['Rights and privileges'],"['Aqueduct', 'Circus?', 'Forum', 'Theatre', 'Urban grid']",5,POINT (-4.630364 37.032488),365,,,,,5399.0,
365,Hanson2016_366,Suel,Fuengirola,Baetica,Spain,3,27 A5,-50,,DGRG.,,,['Municipium'],,0,POINT (-4.628919000000002 36.525435),366,,,,,1000.0,
366,Hanson2016_367,Tucci,Martos,Baetica,Spain,3,27 B4,-27,,BNP; Brunt 1971; Carreras Monfort 1995-1996; Cornell and Mathews 1982; Keay 1998; MacMullen 2000; Salmon 1969; Sear 2006.,6.0,Walls,"['Colonia', 'Rights and privileges', 'Rights and privileges']",['Theatre'],1,POINT (-3.966243 37.722761),367,,,,,458.0,
367,Hanson2016_368,Ucubi,Espejo,Baetica,Spain,3,27 A4,-49,,Brunt 1971; Cornell and Mathews 1982; DGRG; Keay 1998; MacMullen 2000; PECS; Salmon 1969.,,,"['Colonia', 'Rights and privileges']","['Amphitheatre', 'Bridge']",2,POINT (-4.552369000000001 37.682102),368,,,,,1000.0,
368,Hanson2016_369,Ugia,Torres de Alhocaz,Baetica,Spain,3,26 E5,-50,,DGRG; MacMullen 2000.,,,"['Municipium', 'Rights and privileges']",,0,POINT (-5.83028 36.98944),369,,,,,1000.0,
369,Hanson2016_370,Ugultunia,Unknown,Baetica,Spain,3,26 D3,-49,,MacMullen 2000.,,,['Colonia?'],,0,POINT (-6.411544 38.343551),370,,,,,1000.0,
370,Hanson2016_371,Ulia,Monte Mayor,Baetica,Spain,3,26 F4,-50,,DGRG; MacMullen 2000.,,,['Municipium'],,0,POINT (-4.69889 37.648657),371,,,,,1000.0,
371,Hanson2016_372,Urgao,Unknown,Baetica,Spain,3,27 A4,-50,,DGRG; MacMullen 2000.,,,['Municipium'],,0,POINT (-4.054925 37.93645),372,,,,,1000.0,
372,Hanson2016_373,Urso,Osuna,Baetica,Spain,3,26 E4,-45,,BNP; Brunt 1971; Carreras Monfort 1995-1996; Cornell and Mathews 1982; DGRG; Golvin 1988; Keay 1998; MacMullen 2000; PECS; Quinn and Wilson 2013; Salmon 1969; Sear 2006; Woloch 1983.,116.0,Walls,"['Colonia', 'Colonia?', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges']","['Amphitheatre?', 'Forum', ""Temple ('capitolium')"", 'Theatre', 'Walls']",5,POINT (-5.103412000000001 37.237271),373,,,,,23980.0,
